policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,acc@1,acc@5,acc@10m,acc@20,mrr,seed,avg_users_upd
static,0.3194,0.0238,0.4822,0,0.0,0.0,0.1889,0.2938,0.3194,0.3412,0.2368,0,
always+replay,0.5097,0.3697,0.5868,450,0.298,0.6604,0.3091,0.4767,0.5097,0.5381,0.3858,0,
periodic-4,0.4254,0.2163,0.5405,120,0.163,0.1566,0.2534,0.3943,0.4254,0.453,0.3186,0,
selective-gated,0.3732,0.1376,0.503,450,0.01,0.069,0.2178,0.3399,0.3732,0.4024,0.2742,0,555.7
GIRAM,0.6647,0.5513,0.7271,0,0.0065,0.115,0.321,0.5959,0.6647,0.7076,0.4413,0,-
GIRAM-VAE,0.6521,0.5335,0.7174,0,0.001,0.093,0.2974,0.5751,0.6521,0.7037,0.4199,0,-
EWC,0.4913,0.3218,0.5846,450,0.093,0.6225,0.2991,0.4581,0.4913,0.5193,0.3721,0,-
ADER,0.5089,0.3586,0.5917,450,0.2365,0.529,0.3113,0.4765,0.5089,0.5366,0.3869,0,-
static,0.321,0.0228,0.4852,0,0.0,0.0,0.1923,0.2951,0.321,0.3431,0.2395,1,
always+replay,0.5103,0.369,0.588,450,0.296,0.6609,0.3134,0.477,0.5103,0.5387,0.3885,1,
periodic-4,0.4234,0.2128,0.5393,120,0.147,0.1581,0.2558,0.3914,0.4234,0.4508,0.3188,1,
selective-gated,0.3742,0.1396,0.5033,450,0.0055,0.0745,0.2202,0.341,0.3742,0.4033,0.2761,1,549.7
GIRAM,0.6645,0.5511,0.727,0,-0.0035,0.1188,0.3242,0.5954,0.6645,0.7075,0.4429,1,-
GIRAM-VAE,0.653,0.5352,0.7179,0,-0.0045,0.0959,0.2983,0.5754,0.653,0.7041,0.4203,1,-
EWC,0.4912,0.3218,0.5845,450,0.0915,0.6297,0.3038,0.4578,0.4912,0.5194,0.3748,1,-
ADER,0.5094,0.3574,0.593,450,0.22,0.5268,0.3162,0.4761,0.5094,0.5384,0.3898,1,-
static,0.3183,0.0217,0.4817,0,0.0,0.0,0.1912,0.2931,0.3183,0.3389,0.2379,2,
always+replay,0.5074,0.3666,0.5849,450,0.2965,0.6679,0.3096,0.4737,0.5074,0.535,0.3848,2,
periodic-4,0.4207,0.2098,0.5368,120,0.1465,0.1607,0.2536,0.3896,0.4207,0.4473,0.3167,2,
selective-gated,0.3722,0.1349,0.5029,450,0.0035,0.076,0.2176,0.3383,0.3722,0.4003,0.2734,2,563.2
GIRAM,0.6637,0.5491,0.7268,0,0.0,0.1162,0.322,0.5951,0.6637,0.7066,0.4413,2,-
GIRAM-VAE,0.6519,0.5324,0.7178,0,-0.006,0.0961,0.2951,0.5734,0.6519,0.7031,0.4182,2,-
EWC,0.4876,0.3183,0.5808,450,0.0865,0.6307,0.2993,0.4543,0.4876,0.5159,0.3705,2,-
ADER,0.5059,0.3533,0.5899,450,0.217,0.5331,0.313,0.4727,0.5059,0.5339,0.3864,2,-
static,0.3221,0.0271,0.4844,0,0.0,0.0,0.1918,0.2968,0.3221,0.3431,0.2397,3,
always+replay,0.5084,0.3697,0.5847,450,0.2775,0.6623,0.3101,0.475,0.5084,0.5372,0.3859,3,
periodic-4,0.4241,0.2188,0.5371,120,0.144,0.1564,0.2556,0.3927,0.4241,0.4518,0.3194,3,
selective-gated,0.3749,0.1376,0.5055,450,0.0025,0.0766,0.2191,0.342,0.3749,0.404,0.2757,3,556.0
GIRAM,0.6652,0.5509,0.7281,0,0.004,0.1161,0.3243,0.5966,0.6652,0.7078,0.4433,3,-
GIRAM-VAE,0.6526,0.5333,0.7182,0,-0.007,0.0923,0.2973,0.5754,0.6526,0.7037,0.4202,3,-
EWC,0.4912,0.3258,0.5822,450,0.087,0.6267,0.2984,0.4572,0.4912,0.5197,0.3715,3,-
ADER,0.5091,0.3609,0.5908,450,0.2165,0.529,0.3126,0.4756,0.5091,0.5376,0.3874,3,-
static,0.3194,0.024,0.4821,0,0.0,0.0,0.1924,0.2953,0.3194,0.3413,0.2395,4,
always+replay,0.5069,0.3665,0.5843,450,0.293,0.6615,0.31,0.4749,0.5069,0.5347,0.3858,4,
periodic-4,0.4208,0.2131,0.5352,120,0.1645,0.1578,0.2542,0.3906,0.4208,0.4479,0.3173,4,
selective-gated,0.3716,0.1293,0.5051,450,0.009,0.0709,0.2196,0.3393,0.3716,0.4006,0.2751,4,559.2
GIRAM,0.6638,0.5497,0.7266,0,-0.002,0.1161,0.3211,0.5954,0.6638,0.7069,0.441,4,-
GIRAM-VAE,0.6524,0.5334,0.7179,0,-0.002,0.0956,0.2969,0.5749,0.6524,0.7035,0.4195,4,-
EWC,0.4887,0.3187,0.5823,450,0.09,0.6265,0.2995,0.4555,0.4887,0.5165,0.3712,4,-
ADER,0.5069,0.3566,0.5896,450,0.2155,0.5349,0.3124,0.4743,0.5069,0.5344,0.3865,4,-
