policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,acc@1,acc@5,acc@10m,acc@20,mrr,seed,avg_users_upd
static,0.0883,0.0403,0.147,0,0.0,0.0,0.035,0.0698,0.0883,0.1098,0.0541,0,
always+replay,0.1374,0.112,0.1685,450,0.1905,0.7978,0.0552,0.112,0.1374,0.1655,0.0844,0,
periodic-4,0.1087,0.0728,0.1528,120,0.1555,0.1766,0.0443,0.088,0.1087,0.1334,0.0676,0,
selective-gated,0.1008,0.0558,0.1558,450,0.0015,0.0804,0.0401,0.0798,0.1008,0.1248,0.0616,0,1088.0
GIRAM,0.2504,0.2246,0.2819,0,0.01,0.1869,0.0872,0.2034,0.2504,0.2938,0.1422,0,-
GIRAM-VAE,0.2456,0.2188,0.2783,0,-0.0075,0.1662,0.0836,0.1974,0.2456,0.2897,0.1381,0,-
EWC,0.1309,0.0947,0.1753,450,0.066,0.7603,0.0535,0.106,0.1309,0.1592,0.0808,0,-
ADER,0.1436,0.116,0.1775,450,0.1755,0.6817,0.0593,0.1176,0.1436,0.1722,0.0894,0,-
static,0.0868,0.0388,0.1456,0,0.0,0.0,0.0335,0.0686,0.0868,0.1079,0.0525,1,
always+replay,0.1362,0.1106,0.1676,450,0.1605,0.8002,0.0562,0.1108,0.1362,0.1644,0.0846,1,
periodic-4,0.1095,0.0737,0.1533,120,0.1315,0.1764,0.0436,0.0883,0.1095,0.1332,0.0671,1,
selective-gated,0.0995,0.053,0.1564,450,0.0015,0.0817,0.0391,0.0792,0.0995,0.123,0.0605,1,1088.2
GIRAM,0.2497,0.2231,0.2823,0,0.008,0.1806,0.0873,0.2027,0.2497,0.2927,0.1419,1,-
GIRAM-VAE,0.2443,0.2176,0.2769,0,-0.0015,0.1608,0.0835,0.1966,0.2443,0.2885,0.1377,1,-
EWC,0.1307,0.0944,0.1751,450,0.0775,0.757,0.0526,0.1057,0.1307,0.1579,0.0801,1,-
ADER,0.1425,0.1129,0.1786,450,0.146,0.6807,0.0585,0.117,0.1425,0.1719,0.0884,1,-
static,0.0881,0.0403,0.1465,0,0.0,0.0,0.0339,0.0694,0.0881,0.1094,0.053,2,
always+replay,0.1364,0.1109,0.1678,450,0.182,0.7965,0.0559,0.1113,0.1364,0.1645,0.0845,2,
periodic-4,0.1088,0.074,0.1514,120,0.1345,0.176,0.043,0.0883,0.1088,0.1329,0.0666,2,
selective-gated,0.1017,0.057,0.1564,450,0.0005,0.0785,0.039,0.0806,0.1017,0.1263,0.0611,2,1087.7
GIRAM,0.2504,0.2244,0.2821,0,0.005,0.1751,0.087,0.2026,0.2504,0.2933,0.1416,2,-
GIRAM-VAE,0.2453,0.219,0.2775,0,-0.0045,0.1536,0.0831,0.1972,0.2453,0.2889,0.1374,2,-
EWC,0.1299,0.0936,0.1743,450,0.0635,0.7553,0.0523,0.1053,0.1299,0.1581,0.0797,2,-
ADER,0.1423,0.1146,0.1761,450,0.1575,0.6759,0.0589,0.1167,0.1423,0.1718,0.0884,2,-
static,0.0891,0.0403,0.1488,0,0.0,0.0,0.0353,0.0707,0.0891,0.1105,0.0544,3,
always+replay,0.1382,0.1127,0.1693,450,0.1615,0.7933,0.0555,0.1129,0.1382,0.1663,0.0849,3,
periodic-4,0.1092,0.0724,0.1542,120,0.1235,0.1754,0.0435,0.0874,0.1092,0.1346,0.0668,3,
selective-gated,0.1024,0.0564,0.1586,450,0.002,0.0836,0.0408,0.0814,0.1024,0.1265,0.0626,3,1083.8
GIRAM,0.2514,0.2259,0.2825,0,0.002,0.1834,0.0883,0.2036,0.2514,0.2947,0.1431,3,-
GIRAM-VAE,0.2455,0.2192,0.2777,0,-0.0105,0.1641,0.0844,0.1978,0.2455,0.2908,0.1386,3,-
EWC,0.1313,0.095,0.1758,450,0.06,0.7526,0.0528,0.1073,0.1313,0.1598,0.0806,3,-
ADER,0.1445,0.1156,0.1799,450,0.14,0.6737,0.0593,0.1185,0.1445,0.1743,0.0895,3,-
static,0.0902,0.0408,0.1507,0,0.0,0.0,0.0356,0.0717,0.0902,0.1114,0.0549,4,
always+replay,0.1384,0.1135,0.169,450,0.166,0.7938,0.056,0.113,0.1384,0.1674,0.0853,4,
periodic-4,0.1096,0.0744,0.1527,120,0.1365,0.1769,0.0446,0.0893,0.1096,0.1341,0.0681,4,
selective-gated,0.1025,0.056,0.1595,450,-0.001,0.0845,0.0404,0.0816,0.1025,0.1269,0.0623,4,1080.8
GIRAM,0.2521,0.226,0.284,0,-0.001,0.1809,0.0886,0.2039,0.2521,0.2953,0.1432,4,-
GIRAM-VAE,0.2469,0.22,0.2799,0,-0.006,0.1605,0.0851,0.1985,0.2469,0.2914,0.1392,4,-
EWC,0.1322,0.0969,0.1754,450,0.07,0.7507,0.0526,0.1061,0.1322,0.1604,0.0804,4,-
ADER,0.1446,0.1167,0.1788,450,0.149,0.6747,0.0586,0.1175,0.1446,0.1736,0.0889,4,-
