round,policy,acc
0,static,0.576
1,static,0.4748
2,static,0.4888
3,static,0.4549
4,static,0.3965
5,static,0.3775
6,static,0.3411
7,static,0.3215
8,static,0.3032
9,static,0.2908
10,static,0.2928
11,static,0.1915
12,static,0.1505
13,static,0.0969
14,static,0.0345
0,always+replay,0.576
1,always+replay,0.5114
2,always+replay,0.5615
3,always+replay,0.5596
4,always+replay,0.5333
5,always+replay,0.5507
6,always+replay,0.5179
7,always+replay,0.5386
8,always+replay,0.541
9,always+replay,0.5339
10,always+replay,0.5495
11,always+replay,0.4523
12,always+replay,0.4507
13,always+replay,0.4588
14,always+replay,0.3103
0,periodic-4,0.576
1,periodic-4,0.5117
2,periodic-4,0.5227
3,periodic-4,0.4768
4,periodic-4,0.4148
5,periodic-4,0.5107
6,periodic-4,0.4503
7,periodic-4,0.4144
8,periodic-4,0.3889
9,periodic-4,0.493
10,periodic-4,0.4504
11,periodic-4,0.3205
12,periodic-4,0.2471
13,periodic-4,0.4256
14,periodic-4,0.1781
0,selective-gated,0.576
1,selective-gated,0.4813
2,selective-gated,0.4992
3,selective-gated,0.4775
4,selective-gated,0.4357
5,selective-gated,0.4274
6,selective-gated,0.3917
7,selective-gated,0.3859
8,selective-gated,0.377
9,selective-gated,0.3711
10,selective-gated,0.373
11,selective-gated,0.2779
12,selective-gated,0.2407
13,selective-gated,0.1816
14,selective-gated,0.1027
0,GIRAM,0.576
1,GIRAM,0.6403
2,GIRAM,0.7209
3,GIRAM,0.7349
4,GIRAM,0.7096
5,GIRAM,0.7257
6,GIRAM,0.6982
7,GIRAM,0.7202
8,GIRAM,0.7286
9,GIRAM,0.7248
10,GIRAM,0.7354
11,GIRAM,0.6021
12,GIRAM,0.611
13,GIRAM,0.6093
14,GIRAM,0.4327
0,GIRAM-VAE,0.6091
1,GIRAM-VAE,0.6462
2,GIRAM-VAE,0.7244
3,GIRAM-VAE,0.7333
4,GIRAM-VAE,0.7025
5,GIRAM-VAE,0.7139
6,GIRAM-VAE,0.6859
7,GIRAM-VAE,0.703
8,GIRAM-VAE,0.7126
9,GIRAM-VAE,0.7081
10,GIRAM-VAE,0.7126
11,GIRAM-VAE,0.5812
12,GIRAM-VAE,0.5792
13,GIRAM-VAE,0.5697
14,GIRAM-VAE,0.3997
0,EWC,0.576
1,EWC,0.5123
2,EWC,0.5592
3,EWC,0.5539
4,EWC,0.5247
5,EWC,0.5339
6,EWC,0.5048
7,EWC,0.5132
8,EWC,0.519
9,EWC,0.5081
10,EWC,0.5226
11,EWC,0.4211
12,EWC,0.4177
13,EWC,0.4203
14,EWC,0.2827
0,ADER,0.576
1,ADER,0.5101
2,ADER,0.5604
3,ADER,0.5598
4,ADER,0.5317
5,ADER,0.5466
6,ADER,0.5199
7,ADER,0.5361
8,ADER,0.5376
9,ADER,0.5366
10,ADER,0.5539
11,ADER,0.4576
12,ADER,0.4487
13,ADER,0.4523
14,ADER,0.3064
