round,policy,acc
0,static,0.1384
1,static,0.1283
2,static,0.1229
3,static,0.1008
4,static,0.1099
5,static,0.0864
6,static,0.0997
7,static,0.0795
8,static,0.0766
9,static,0.0695
10,static,0.0612
11,static,0.073
12,static,0.0616
13,static,0.0578
14,static,0.0589
0,always+replay,0.1384
1,always+replay,0.1388
2,always+replay,0.1408
3,always+replay,0.1298
4,always+replay,0.1401
5,always+replay,0.1147
6,always+replay,0.1362
7,always+replay,0.126
8,always+replay,0.1313
9,always+replay,0.1349
10,always+replay,0.1222
11,always+replay,0.151
12,always+replay,0.1501
13,always+replay,0.1464
14,always+replay,0.1603
0,periodic-4,0.1384
1,periodic-4,0.1368
2,periodic-4,0.1284
3,periodic-4,0.1025
4,periodic-4,0.1102
5,periodic-4,0.1031
6,periodic-4,0.1131
7,periodic-4,0.0865
8,periodic-4,0.0832
9,periodic-4,0.1181
10,periodic-4,0.0886
11,periodic-4,0.1066
12,periodic-4,0.0901
13,periodic-4,0.1142
14,periodic-4,0.1112
0,selective-gated,0.1384
1,selective-gated,0.1307
2,selective-gated,0.1272
3,selective-gated,0.1067
4,selective-gated,0.1186
5,selective-gated,0.093
6,selective-gated,0.1102
7,selective-gated,0.0909
8,selective-gated,0.089
9,selective-gated,0.0882
10,selective-gated,0.0749
11,selective-gated,0.0984
12,selective-gated,0.0857
13,selective-gated,0.0793
14,selective-gated,0.0809
0,GIRAM,0.1384
1,GIRAM,0.2086
2,GIRAM,0.2465
3,GIRAM,0.2339
4,GIRAM,0.2478
5,GIRAM,0.2157
6,GIRAM,0.2642
7,GIRAM,0.2455
8,GIRAM,0.251
9,GIRAM,0.2809
10,GIRAM,0.2392
11,GIRAM,0.3097
12,GIRAM,0.3062
13,GIRAM,0.283
14,GIRAM,0.2849
0,GIRAM-VAE,0.1391
1,GIRAM-VAE,0.2111
2,GIRAM-VAE,0.2445
3,GIRAM-VAE,0.2304
4,GIRAM-VAE,0.2453
5,GIRAM-VAE,0.2129
6,GIRAM-VAE,0.2609
7,GIRAM-VAE,0.2413
8,GIRAM-VAE,0.2447
9,GIRAM-VAE,0.2727
10,GIRAM-VAE,0.2306
11,GIRAM-VAE,0.3009
12,GIRAM-VAE,0.2992
13,GIRAM-VAE,0.2736
14,GIRAM-VAE,0.2766
0,EWC,0.1384
1,EWC,0.142
2,EWC,0.1448
3,EWC,0.1332
4,EWC,0.1465
5,EWC,0.1148
6,EWC,0.1284
7,EWC,0.1213
8,EWC,0.1232
9,EWC,0.1289
10,EWC,0.1109
11,EWC,0.1328
12,EWC,0.1351
13,EWC,0.1264
14,EWC,0.1373
0,ADER,0.1384
1,ADER,0.1396
2,ADER,0.143
3,ADER,0.1409
4,ADER,0.1488
5,ADER,0.1202
6,ADER,0.1475
7,ADER,0.1315
8,ADER,0.1384
9,ADER,0.1435
10,ADER,0.1242
11,ADER,0.1574
12,ADER,0.1607
13,ADER,0.1542
14,ADER,0.166
