round,policy,acc
0,static,0.4759
1,static,0.5145
2,static,0.3905
3,static,0.4387
4,static,0.4033
5,static,0.3698
6,static,0.2891
7,static,0.2768
8,static,0.243
9,static,0.2262
10,static,0.2321
11,static,0.2061
12,static,0.2075
13,static,0.216
14,static,0.2519
0,always+replay,0.4759
1,always+replay,0.5026
2,always+replay,0.4014
3,always+replay,0.4544
4,always+replay,0.4453
5,always+replay,0.4388
6,always+replay,0.3619
7,always+replay,0.3835
8,always+replay,0.3746
9,always+replay,0.3776
10,always+replay,0.3845
11,always+replay,0.3759
12,always+replay,0.3831
13,always+replay,0.4426
14,always+replay,0.4846
0,periodic-4,0.4759
1,periodic-4,0.5046
2,periodic-4,0.3686
3,periodic-4,0.4219
4,periodic-4,0.3848
5,periodic-4,0.407
6,periodic-4,0.311
7,periodic-4,0.2984
8,periodic-4,0.2614
9,periodic-4,0.3103
10,periodic-4,0.3004
11,periodic-4,0.2714
12,periodic-4,0.2608
13,periodic-4,0.3503
14,periodic-4,0.3506
0,selective-gated,0.4759
1,selective-gated,0.5138
2,selective-gated,0.3943
3,selective-gated,0.4479
4,selective-gated,0.4166
5,selective-gated,0.3838
6,selective-gated,0.3079
7,selective-gated,0.3079
8,selective-gated,0.2724
9,selective-gated,0.2495
10,selective-gated,0.272
11,selective-gated,0.2509
12,selective-gated,0.2604
13,selective-gated,0.2813
14,selective-gated,0.3288
0,GIRAM,0.4759
1,GIRAM,0.6218
2,GIRAM,0.5217
3,GIRAM,0.6249
4,GIRAM,0.6237
5,GIRAM,0.6032
6,GIRAM,0.5178
7,GIRAM,0.5632
8,GIRAM,0.5516
9,GIRAM,0.5478
10,GIRAM,0.5742
11,GIRAM,0.5482
12,GIRAM,0.5619
13,GIRAM,0.6504
14,GIRAM,0.6422
0,GIRAM-VAE,0.4804
1,GIRAM-VAE,0.6242
2,GIRAM-VAE,0.5149
3,GIRAM-VAE,0.618
4,GIRAM-VAE,0.6169
5,GIRAM-VAE,0.5943
6,GIRAM-VAE,0.5044
7,GIRAM-VAE,0.5437
8,GIRAM-VAE,0.5239
9,GIRAM-VAE,0.527
10,GIRAM-VAE,0.5403
11,GIRAM-VAE,0.512
12,GIRAM-VAE,0.5314
13,GIRAM-VAE,0.609
14,GIRAM-VAE,0.6114
0,EWC,0.4759
1,EWC,0.5196
2,EWC,0.4127
3,EWC,0.4684
4,EWC,0.459
5,EWC,0.458
6,EWC,0.3701
7,EWC,0.3814
8,EWC,0.3753
9,EWC,0.366
10,EWC,0.3811
11,EWC,0.3729
12,EWC,0.3814
13,EWC,0.4282
14,EWC,0.4798
0,ADER,0.4759
1,ADER,0.5306
2,ADER,0.4213
3,ADER,0.4892
4,ADER,0.4737
5,ADER,0.4686
6,ADER,0.3773
7,ADER,0.3985
8,ADER,0.3852
9,ADER,0.3879
10,ADER,0.405
11,ADER,0.4029
12,ADER,0.4094
13,ADER,0.4696
14,ADER,0.5137
