round,policy,acc
0,static,0.3916
1,static,0.3677
2,static,0.3869
3,static,0.3682
4,static,0.3263
5,static,0.3698
6,static,0.3303
7,static,0.2876
8,static,0.3318
9,static,0.3029
10,static,0.2629
11,static,0.2778
12,static,0.2945
13,static,0.2981
14,static,0.3172
0,always+replay,0.3916
1,always+replay,0.3596
2,always+replay,0.3796
3,always+replay,0.3685
4,always+replay,0.3549
5,always+replay,0.4063
6,always+replay,0.3718
7,always+replay,0.3308
8,always+replay,0.3842
9,always+replay,0.3742
10,always+replay,0.3126
11,always+replay,0.3348
12,always+replay,0.3783
13,always+replay,0.3732
14,always+replay,0.4219
0,periodic-4,0.3916
1,periodic-4,0.3594
2,periodic-4,0.3798
3,periodic-4,0.3569
4,periodic-4,0.315
5,periodic-4,0.3882
6,periodic-4,0.341
7,periodic-4,0.2999
8,periodic-4,0.3394
9,periodic-4,0.3417
10,periodic-4,0.2828
11,periodic-4,0.3009
12,periodic-4,0.3239
13,periodic-4,0.3488
14,periodic-4,0.376
0,selective-gated,0.3916
1,selective-gated,0.3687
2,selective-gated,0.3919
3,selective-gated,0.3718
4,selective-gated,0.3355
5,selective-gated,0.3849
6,selective-gated,0.3501
7,selective-gated,0.3084
8,selective-gated,0.3579
9,selective-gated,0.3342
10,selective-gated,0.2909
11,selective-gated,0.3062
12,selective-gated,0.33
13,selective-gated,0.3329
14,selective-gated,0.3646
0,GIRAM,0.3916
1,GIRAM,0.4119
2,GIRAM,0.474
3,GIRAM,0.4623
4,GIRAM,0.4828
5,GIRAM,0.5636
6,GIRAM,0.5255
7,GIRAM,0.4806
8,GIRAM,0.55
9,GIRAM,0.546
10,GIRAM,0.4516
11,GIRAM,0.4983
12,GIRAM,0.5346
13,GIRAM,0.5205
14,GIRAM,0.579
0,GIRAM-VAE,0.394
1,GIRAM-VAE,0.4149
2,GIRAM-VAE,0.4742
3,GIRAM-VAE,0.4601
4,GIRAM-VAE,0.4737
5,GIRAM-VAE,0.5518
6,GIRAM-VAE,0.5146
7,GIRAM-VAE,0.4674
8,GIRAM-VAE,0.5331
9,GIRAM-VAE,0.5256
10,GIRAM-VAE,0.4303
11,GIRAM-VAE,0.4758
12,GIRAM-VAE,0.5122
13,GIRAM-VAE,0.4996
14,GIRAM-VAE,0.5536
0,EWC,0.3916
1,EWC,0.3692
2,EWC,0.3927
3,EWC,0.381
4,EWC,0.3579
5,EWC,0.4106
6,EWC,0.3797
7,EWC,0.3341
8,EWC,0.3867
9,EWC,0.3633
10,EWC,0.3113
11,EWC,0.326
12,EWC,0.3628
13,EWC,0.3601
14,EWC,0.4053
0,ADER,0.3916
1,ADER,0.3722
2,ADER,0.398
3,ADER,0.3822
4,ADER,0.3643
5,ADER,0.4249
6,ADER,0.3916
7,ADER,0.3493
8,ADER,0.3953
9,ADER,0.3839
10,ADER,0.3318
11,ADER,0.3496
12,ADER,0.3879
13,ADER,0.3885
14,ADER,0.4359
