policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,acc@1,acc@5,acc@10m,acc@20,mrr,seed,avg_users_upd
static,0.3276,0.0891,0.3625,0,0.0,0.0,0.1379,0.2711,0.3276,0.3811,0.2024,0,
always+replay,0.3695,0.2497,0.387,450,0.1745,0.6444,0.1506,0.3068,0.3695,0.4281,0.2249,0,
periodic-4,0.343,0.1736,0.3678,120,0.126,0.1425,0.1394,0.2832,0.343,0.4004,0.2087,0,
selective-gated,0.348,0.1613,0.3753,450,0.0005,0.061,0.1451,0.2878,0.348,0.4049,0.2139,0,563.8
GIRAM,0.4982,0.4616,0.5035,0,0.007,0.1872,0.1722,0.3978,0.4982,0.5799,0.2765,0,-
GIRAM-VAE,0.4854,0.4303,0.4934,0,-0.006,0.1583,0.1631,0.3837,0.4854,0.5706,0.2659,0,-
EWC,0.3688,0.2004,0.3935,450,0.0615,0.6001,0.1528,0.3072,0.3688,0.4256,0.2264,0,-
ADER,0.3831,0.2546,0.4019,450,0.15,0.499,0.1597,0.3202,0.3831,0.4406,0.2358,0,-
static,0.3301,0.0843,0.3661,0,0.0,0.0,0.1379,0.2739,0.3301,0.383,0.2035,1,
always+replay,0.371,0.2513,0.3885,450,0.1745,0.63,0.1522,0.3075,0.371,0.4286,0.2265,1,
periodic-4,0.3469,0.176,0.3719,120,0.1175,0.1396,0.1415,0.2868,0.3469,0.4028,0.2113,1,
selective-gated,0.3498,0.1602,0.3776,450,0.0035,0.0616,0.1449,0.2888,0.3498,0.4065,0.2143,1,558.5
GIRAM,0.4989,0.461,0.5045,0,0.002,0.1878,0.1718,0.398,0.4989,0.5807,0.2763,1,-
GIRAM-VAE,0.4867,0.4315,0.4948,0,-0.0085,0.1575,0.1628,0.384,0.4867,0.5723,0.266,1,-
EWC,0.3702,0.1995,0.3952,450,0.0575,0.582,0.1551,0.3081,0.3702,0.4264,0.2283,1,-
ADER,0.3822,0.2548,0.4009,450,0.1535,0.4965,0.1606,0.3199,0.3822,0.4397,0.2361,1,-
static,0.3276,0.0852,0.3631,0,0.0,0.0,0.138,0.2723,0.3276,0.3808,0.2025,2,
always+replay,0.3709,0.2517,0.3884,450,0.1805,0.6286,0.1526,0.3088,0.3709,0.4284,0.2267,2,
periodic-4,0.3462,0.1848,0.3698,120,0.1035,0.1406,0.1409,0.2871,0.3462,0.4029,0.2109,2,
selective-gated,0.3476,0.1686,0.3738,450,0.0005,0.0607,0.1452,0.2883,0.3476,0.4036,0.2137,2,569.8
GIRAM,0.4976,0.4612,0.5029,0,-0.001,0.1934,0.1727,0.3983,0.4976,0.5795,0.2767,2,-
GIRAM-VAE,0.4845,0.428,0.4928,0,-0.01,0.1608,0.1636,0.3845,0.4845,0.5704,0.2664,2,-
EWC,0.3689,0.2051,0.3929,450,0.0645,0.5899,0.155,0.3076,0.3689,0.4248,0.228,2,-
ADER,0.383,0.2559,0.4016,450,0.1535,0.4987,0.1606,0.3218,0.383,0.441,0.2368,2,-
static,0.3321,0.094,0.3669,0,0.0,0.0,0.1388,0.275,0.3321,0.3861,0.2044,3,
always+replay,0.3706,0.2569,0.3872,450,0.171,0.6404,0.1511,0.3074,0.3706,0.4285,0.2256,3,
periodic-4,0.3458,0.1765,0.3706,120,0.1125,0.1415,0.1406,0.2848,0.3458,0.404,0.21,3,
selective-gated,0.351,0.1644,0.3783,450,0.006,0.0542,0.1462,0.2895,0.351,0.4082,0.2153,3,559.8
GIRAM,0.4996,0.4636,0.5048,0,-0.003,0.1803,0.1717,0.3983,0.4996,0.582,0.2763,3,-
GIRAM-VAE,0.4869,0.4321,0.4949,0,-0.014,0.1528,0.1618,0.384,0.4869,0.5733,0.2653,3,-
EWC,0.37,0.204,0.3943,450,0.0665,0.5922,0.1524,0.3082,0.37,0.4274,0.2267,3,-
ADER,0.3838,0.2596,0.402,450,0.152,0.5046,0.1596,0.3205,0.3838,0.4417,0.2359,3,-
static,0.3297,0.0844,0.3656,0,0.0,0.0,0.137,0.2725,0.3297,0.3828,0.2023,4,
always+replay,0.3699,0.2545,0.3868,450,0.162,0.6385,0.1509,0.307,0.3699,0.4283,0.2253,4,
periodic-4,0.3434,0.178,0.3676,120,0.1045,0.1405,0.1393,0.284,0.3434,0.3996,0.2087,4,
selective-gated,0.3505,0.1654,0.3776,450,-0.0015,0.0574,0.1443,0.2897,0.3505,0.4073,0.214,4,568.7
GIRAM,0.4984,0.4612,0.5039,0,-0.0085,0.1826,0.1704,0.3982,0.4984,0.5808,0.2753,4,-
GIRAM-VAE,0.4861,0.4291,0.4944,0,-0.017,0.1528,0.1615,0.383,0.4861,0.5712,0.2645,4,-
EWC,0.3683,0.2036,0.3924,450,0.056,0.5943,0.1522,0.3061,0.3683,0.4263,0.2257,4,-
ADER,0.3826,0.2579,0.4009,450,0.1385,0.5026,0.1592,0.3194,0.3826,0.4402,0.2352,4,-
