policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,sec,avg_users_upd
static,0.0954,0.044,0.1584,0,0.0,0.0,0.7,
always,0.0814,0.0537,0.1154,450,0.178,0.8269,2.9,
periodic-2,0.0781,0.0468,0.1165,240,0.169,0.4192,1.8,
periodic-4,0.0782,0.0439,0.1201,120,0.142,0.1796,1.2,
gated-0.02,0.0776,0.0442,0.1185,150,0.162,0.3002,1.4,
gated-0.05,0.0796,0.0383,0.1302,30,0.0875,0.0599,0.8,
selective-all,0.0955,0.044,0.1584,450,-0.0075,0.0174,2.4,344.3
selective-gated,0.0954,0.044,0.1584,450,-0.006,0.0157,2.4,304.4
GIRAM-a0.3,0.0967,0.0443,0.1607,0,0.0105,0.0579,0.9,-
GIRAM-a0.5,0.0967,0.0443,0.1607,0,-0.0025,0.0538,0.8,-
GIRAM-a0.7,0.0965,0.0442,0.1604,0,-0.012,0.0443,0.7,-
