policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,sec,avg_users_upd
static,0.229,0.0155,0.258,0,0.0,0.0004,0.3,
always,0.1655,0.0072,0.1871,30,0.148,0.8168,0.6,
periodic-2,0.1725,0.009,0.1947,20,0.145,0.4007,0.5,
periodic-4,0.1667,0.0064,0.1886,10,0.137,0.0,0.4,
gated-0.02,0.229,0.0155,0.258,10,0.122,0.3903,0.4,
gated-0.05,0.229,0.0155,0.258,0,0.0,0.0002,0.2,
selective-all,0.2292,0.0155,0.2583,30,-0.0105,0.066,0.6,346.3
selective-gated,0.229,0.0155,0.258,30,-0.0045,0.0383,0.6,246.7
GIRAM-a0.3,0.2304,0.0155,0.2597,0,-0.1535,0.2741,0.3,-
GIRAM-a0.5,0.2303,0.0155,0.2595,0,-0.1515,0.2413,0.3,-
GIRAM-a0.7,0.2299,0.0155,0.2591,0,-0.1335,0.1904,0.3,-
