round,policy,acc
0,static,0.2417
1,static,0.3754
2,static,0.3334
3,static,0.3852
4,static,0.3626
5,static,0.3653
6,static,0.322
7,static,0.2461
8,static,0.4394
9,static,0.2379
10,static,0.3383
11,static,0.2245
12,static,0.213
13,static,0.3133
14,static,0.3932
0,always+replay,0.2417
1,always+replay,0.3439
2,always+replay,0.2932
3,always+replay,0.3171
4,always+replay,0.2941
5,always+replay,0.3108
6,always+replay,0.2832
7,always+replay,0.2493
8,always+replay,0.3203
9,always+replay,0.2011
10,always+replay,0.2493
11,always+replay,0.1912
12,always+replay,0.1575
13,always+replay,0.2349
14,always+replay,0.2893
0,periodic-4,0.2417
1,periodic-4,0.3463
2,periodic-4,0.2997
3,periodic-4,0.3479
4,periodic-4,0.3146
5,periodic-4,0.3318
6,periodic-4,0.3049
7,periodic-4,0.2184
8,periodic-4,0.396
9,periodic-4,0.213
10,periodic-4,0.2719
11,periodic-4,0.2157
12,periodic-4,0.1862
13,periodic-4,0.2381
14,periodic-4,0.313
0,selective-gated,0.2417
1,selective-gated,0.3754
2,selective-gated,0.3334
3,selective-gated,0.386
4,selective-gated,0.3626
5,selective-gated,0.3653
6,selective-gated,0.322
7,selective-gated,0.2463
8,selective-gated,0.4394
9,selective-gated,0.2457
10,selective-gated,0.3383
11,selective-gated,0.2245
12,selective-gated,0.213
13,selective-gated,0.3133
14,selective-gated,0.3932
0,GIRAM,0.2417
1,GIRAM,0.3759
2,GIRAM,0.3416
3,GIRAM,0.3884
4,GIRAM,0.3626
5,GIRAM,0.3654
6,GIRAM,0.322
7,GIRAM,0.2765
8,GIRAM,0.4414
9,GIRAM,0.2563
10,GIRAM,0.3406
11,GIRAM,0.2245
12,GIRAM,0.2157
13,GIRAM,0.3179
14,GIRAM,0.3935
0,GIRAM+,0.2417
1,GIRAM+,0.3758
2,GIRAM+,0.3386
3,GIRAM+,0.3853
4,GIRAM+,0.3626
5,GIRAM+,0.3653
6,GIRAM+,0.322
7,GIRAM+,0.2461
8,GIRAM+,0.4398
9,GIRAM+,0.2388
10,GIRAM+,0.3401
11,GIRAM+,0.2245
12,GIRAM+,0.2148
13,GIRAM+,0.3133
14,GIRAM+,0.3932
0,GIRAM-VAE,0.2709
1,GIRAM-VAE,0.417
2,GIRAM-VAE,0.3773
3,GIRAM-VAE,0.4169
4,GIRAM-VAE,0.3976
5,GIRAM-VAE,0.4074
6,GIRAM-VAE,0.3521
7,GIRAM-VAE,0.3006
8,GIRAM-VAE,0.472
9,GIRAM-VAE,0.2853
10,GIRAM-VAE,0.3676
11,GIRAM-VAE,0.2674
12,GIRAM-VAE,0.2315
13,GIRAM-VAE,0.3419
14,GIRAM-VAE,0.4283
0,EWC,0.2417
1,EWC,0.3509
2,EWC,0.3054
3,EWC,0.3651
4,EWC,0.3458
5,EWC,0.353
6,EWC,0.3168
7,EWC,0.2727
8,EWC,0.3964
9,EWC,0.2469
10,EWC,0.3262
11,EWC,0.2254
12,EWC,0.1947
13,EWC,0.3094
14,EWC,0.3809
0,ADER,0.2417
1,ADER,0.3658
2,ADER,0.3247
3,ADER,0.3627
4,ADER,0.3413
5,ADER,0.3402
6,ADER,0.3121
7,ADER,0.2639
8,ADER,0.3811
9,ADER,0.2352
10,ADER,0.2806
11,ADER,0.2139
12,ADER,0.1863
13,ADER,0.2795
14,ADER,0.327
