round,policy,acc
0,static,0.288
1,static,0.2948
2,static,0.2173
3,static,0.411
4,static,0.2816
5,static,0.2806
6,static,0.4139
7,static,0.2871
8,static,0.2758
9,static,0.4197
10,static,0.3021
11,static,0.3315
12,static,0.2837
13,static,0.2799
14,static,0.3746
0,always+replay,0.288
1,always+replay,0.2292
2,always+replay,0.1736
3,always+replay,0.2815
4,always+replay,0.2529
5,always+replay,0.176
6,always+replay,0.2854
7,always+replay,0.1965
8,always+replay,0.1517
9,always+replay,0.2734
10,always+replay,0.1962
11,always+replay,0.2348
12,always+replay,0.1726
13,always+replay,0.163
14,always+replay,0.2741
0,periodic-4,0.288
1,periodic-4,0.2262
2,periodic-4,0.18
3,periodic-4,0.3413
4,periodic-4,0.2126
5,periodic-4,0.203
6,periodic-4,0.3069
7,periodic-4,0.2129
8,periodic-4,0.2088
9,periodic-4,0.2929
10,periodic-4,0.2095
11,periodic-4,0.2201
12,periodic-4,0.1781
13,periodic-4,0.1928
14,periodic-4,0.2382
0,selective-gated,0.288
1,selective-gated,0.2948
2,selective-gated,0.2173
3,selective-gated,0.411
4,selective-gated,0.2816
5,selective-gated,0.2806
6,selective-gated,0.4142
7,selective-gated,0.2871
8,selective-gated,0.2758
9,selective-gated,0.4197
10,selective-gated,0.3025
11,selective-gated,0.3315
12,selective-gated,0.2837
13,selective-gated,0.2799
14,selective-gated,0.3746
0,GIRAM,0.288
1,GIRAM,0.2948
2,GIRAM,0.2248
3,GIRAM,0.4127
4,GIRAM,0.3223
5,GIRAM,0.2813
6,GIRAM,0.4303
7,GIRAM,0.3076
8,GIRAM,0.2758
9,GIRAM,0.4221
10,GIRAM,0.3021
11,GIRAM,0.3493
12,GIRAM,0.284
13,GIRAM,0.2806
14,GIRAM,0.3835
0,GIRAM+,0.288
1,GIRAM+,0.2948
2,GIRAM+,0.22
3,GIRAM+,0.412
4,GIRAM+,0.3025
5,GIRAM+,0.2809
6,GIRAM+,0.4139
7,GIRAM+,0.2871
8,GIRAM+,0.2758
9,GIRAM+,0.4214
10,GIRAM+,0.3021
11,GIRAM+,0.3315
12,GIRAM+,0.2837
13,GIRAM+,0.2806
14,GIRAM+,0.3804
0,GIRAM-VAE,0.2894
1,GIRAM-VAE,0.3092
2,GIRAM-VAE,0.2245
3,GIRAM-VAE,0.4308
4,GIRAM-VAE,0.3154
5,GIRAM-VAE,0.2806
6,GIRAM-VAE,0.4402
7,GIRAM-VAE,0.3031
8,GIRAM-VAE,0.2768
9,GIRAM-VAE,0.4217
10,GIRAM-VAE,0.3079
11,GIRAM-VAE,0.3486
12,GIRAM-VAE,0.2905
13,GIRAM-VAE,0.283
14,GIRAM-VAE,0.3828
0,EWC,0.288
1,EWC,0.2316
2,EWC,0.1923
3,EWC,0.3314
4,EWC,0.282
5,EWC,0.2232
6,EWC,0.3295
7,EWC,0.2474
8,EWC,0.2242
9,EWC,0.3448
10,EWC,0.245
11,EWC,0.2936
12,EWC,0.2365
13,EWC,0.2375
14,EWC,0.3257
0,ADER,0.288
1,ADER,0.2774
2,ADER,0.2036
3,ADER,0.3594
4,ADER,0.2594
5,ADER,0.2221
6,ADER,0.3558
7,ADER,0.231
8,ADER,0.2057
9,ADER,0.3219
10,ADER,0.2362
11,ADER,0.271
12,ADER,0.2204
13,ADER,0.216
14,ADER,0.312
