round,policy,acc
0,static,0.3547
1,static,0.3408
2,static,0.3062
3,static,0.2465
4,static,0.3458
5,static,0.3412
6,static,0.3821
7,static,0.3584
8,static,0.2548
9,static,0.3016
10,static,0.3621
11,static,0.3353
12,static,0.295
13,static,0.352
14,static,0.3368
0,always+replay,0.3547
1,always+replay,0.3034
2,always+replay,0.258
3,always+replay,0.1884
4,always+replay,0.2641
5,always+replay,0.2547
6,always+replay,0.2491
7,always+replay,0.2609
8,always+replay,0.1766
9,always+replay,0.1927
10,always+replay,0.2447
11,always+replay,0.2406
12,always+replay,0.2049
13,always+replay,0.251
14,always+replay,0.2249
0,periodic-4,0.3547
1,periodic-4,0.3102
2,periodic-4,0.2687
3,periodic-4,0.212
4,periodic-4,0.3126
5,periodic-4,0.2892
6,periodic-4,0.3116
7,periodic-4,0.3
8,periodic-4,0.213
9,periodic-4,0.2224
10,periodic-4,0.2747
11,periodic-4,0.2642
12,periodic-4,0.2218
13,periodic-4,0.2756
14,periodic-4,0.2349
0,selective-gated,0.3547
1,selective-gated,0.3408
2,selective-gated,0.3062
3,selective-gated,0.2466
4,selective-gated,0.3459
5,selective-gated,0.3412
6,selective-gated,0.3821
7,selective-gated,0.3584
8,selective-gated,0.2548
9,selective-gated,0.3016
10,selective-gated,0.3621
11,selective-gated,0.3353
12,selective-gated,0.295
13,selective-gated,0.352
14,selective-gated,0.3368
0,GIRAM,0.3547
1,GIRAM,0.3465
2,GIRAM,0.3087
3,GIRAM,0.2469
4,GIRAM,0.346
5,GIRAM,0.3434
6,GIRAM,0.3826
7,GIRAM,0.3585
8,GIRAM,0.2561
9,GIRAM,0.3043
10,GIRAM,0.3638
11,GIRAM,0.3454
12,GIRAM,0.2985
13,GIRAM,0.352
14,GIRAM,0.3397
0,GIRAM+,0.3547
1,GIRAM+,0.3455
2,GIRAM+,0.3066
3,GIRAM+,0.2466
4,GIRAM+,0.3459
5,GIRAM+,0.3435
6,GIRAM+,0.3825
7,GIRAM+,0.3585
8,GIRAM+,0.2554
9,GIRAM+,0.303
10,GIRAM+,0.3631
11,GIRAM+,0.3403
12,GIRAM+,0.295
13,GIRAM+,0.352
14,GIRAM+,0.3386
0,GIRAM-VAE,0.361
1,GIRAM-VAE,0.3539
2,GIRAM-VAE,0.3107
3,GIRAM-VAE,0.2498
4,GIRAM-VAE,0.3502
5,GIRAM-VAE,0.3458
6,GIRAM-VAE,0.3865
7,GIRAM-VAE,0.365
8,GIRAM-VAE,0.2629
9,GIRAM-VAE,0.3079
10,GIRAM-VAE,0.3688
11,GIRAM-VAE,0.3487
12,GIRAM-VAE,0.3023
13,GIRAM-VAE,0.354
14,GIRAM-VAE,0.3418
0,EWC,0.3547
1,EWC,0.3141
2,EWC,0.2868
3,EWC,0.2242
4,EWC,0.3087
5,EWC,0.3079
6,EWC,0.3387
7,EWC,0.3446
8,EWC,0.2279
9,EWC,0.2699
10,EWC,0.3196
11,EWC,0.3197
12,EWC,0.2721
13,EWC,0.3224
14,EWC,0.3096
0,ADER,0.3547
1,ADER,0.3261
2,ADER,0.2857
3,ADER,0.2209
4,ADER,0.3047
5,ADER,0.2857
6,ADER,0.302
7,ADER,0.3102
8,ADER,0.209
9,ADER,0.2401
10,ADER,0.2878
11,ADER,0.2744
12,ADER,0.2288
13,ADER,0.2878
14,ADER,0.2665
