policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,seed,avg_users_upd
static,0.3277,0.0311,0.491,0,0.0,0.0,0,
always+replay,0.2706,0.0598,0.3867,450,0.244,0.7962,0,
periodic-4,0.2833,0.0364,0.4192,120,0.1795,0.1682,0,
selective-gated,0.3286,0.0336,0.491,450,0.001,0.0142,0,170.1
GIRAM,0.3323,0.0406,0.4929,0,0.005,0.044,0,-
GIRAM+,0.3286,0.0316,0.4921,0,-0.003,0.05,0,-
GIRAM-VAE,0.3625,0.0746,0.5209,0,0.003,0.0343,0,-
EWC,0.3132,0.0475,0.4595,450,0.079,0.7835,0,-
ADER,0.3096,0.0656,0.4439,450,0.157,0.6474,0,-
static,0.3271,0.0281,0.4918,0,0.0,0.0,1,
always+replay,0.2674,0.0547,0.3845,450,0.225,0.7992,1,
periodic-4,0.2813,0.0299,0.4196,120,0.172,0.1686,1,
selective-gated,0.3275,0.029,0.4919,450,0.0025,0.0146,1,170.7
GIRAM,0.3319,0.0379,0.4938,0,-0.0015,0.0458,1,-
GIRAM+,0.3276,0.0281,0.4925,0,-0.0045,0.05,1,-
GIRAM-VAE,0.3639,0.0704,0.5256,0,-0.0065,0.0356,1,-
EWC,0.3102,0.0459,0.4556,450,0.0785,0.7846,1,-
ADER,0.3065,0.0612,0.4415,450,0.145,0.6426,1,-
static,0.3255,0.0259,0.4905,0,0.0,0.0,2,
always+replay,0.2683,0.0603,0.3829,450,0.208,0.8024,2,
periodic-4,0.279,0.0266,0.418,120,0.1815,0.1698,2,
selective-gated,0.3261,0.0274,0.4906,450,0.0,0.0155,2,174.5
GIRAM,0.3304,0.0358,0.4926,0,-0.0025,0.0448,2,-
GIRAM+,0.3262,0.0259,0.4915,0,-0.004,0.05,2,-
GIRAM-VAE,0.3596,0.0686,0.5198,0,-0.006,0.0354,2,-
EWC,0.3138,0.0524,0.4578,450,0.069,0.7804,2,-
ADER,0.3066,0.0615,0.4415,450,0.1435,0.6475,2,-
static,0.3253,0.0335,0.486,0,0.0,0.0,3,
always+replay,0.2677,0.0535,0.3856,450,0.228,0.7916,3,
periodic-4,0.2822,0.0345,0.4185,120,0.1795,0.1672,3,
selective-gated,0.3259,0.035,0.486,450,0.0005,0.0143,3,170.2
GIRAM,0.3301,0.0432,0.4881,0,-0.001,0.0448,3,-
GIRAM+,0.3261,0.0337,0.4871,0,-0.001,0.05,3,-
GIRAM-VAE,0.3609,0.0758,0.5178,0,-0.001,0.0348,3,-
EWC,0.3115,0.0514,0.4548,450,0.074,0.7731,3,-
ADER,0.306,0.0586,0.4422,450,0.1375,0.6346,3,-
static,0.3255,0.0297,0.4884,0,0.0,0.0,4,
always+replay,0.2661,0.0572,0.3811,450,0.2295,0.7975,4,
periodic-4,0.2779,0.0301,0.4143,120,0.172,0.1697,4,
selective-gated,0.326,0.0311,0.4884,450,-0.001,0.013,4,173.7
GIRAM,0.3304,0.0395,0.4905,0,-0.002,0.0453,4,-
GIRAM+,0.3259,0.0297,0.4889,0,-0.006,0.05,4,-
GIRAM-VAE,0.3602,0.0714,0.5192,0,0.002,0.0346,4,-
EWC,0.3087,0.0506,0.4508,450,0.0655,0.7809,4,-
ADER,0.303,0.061,0.4362,450,0.139,0.6465,4,-
