policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,seed,avg_users_upd
static,0.369,0.0927,0.5212,0,0.0,0.0,0,
always+replay,0.2688,0.0665,0.3801,450,0.275,0.8212,0,
periodic-4,0.2823,0.0512,0.4095,120,0.215,0.1734,0,
selective-gated,0.3696,0.0944,0.5212,450,0.0005,0.0106,0,141.4
GIRAM,0.3733,0.1013,0.523,0,0.014,0.0421,0,-
GIRAM+,0.3697,0.0935,0.5218,0,0.003,0.05,0,-
GIRAM-VAE,0.3927,0.1238,0.5407,0,0.006,0.0331,0,-
EWC,0.287,0.0581,0.413,450,0.169,0.8274,0,-
ADER,0.3242,0.0814,0.4579,450,0.1565,0.6531,0,-
static,0.3706,0.0955,0.522,0,0.0,0.0,1,
always+replay,0.2633,0.0694,0.3701,450,0.245,0.8294,1,
periodic-4,0.2774,0.0507,0.4021,120,0.2295,0.1771,1,
selective-gated,0.3711,0.097,0.522,450,0.0,0.0109,1,139.1
GIRAM,0.3752,0.1047,0.5241,0,0.01,0.0435,1,-
GIRAM+,0.3713,0.0963,0.5227,0,0.003,0.05,1,-
GIRAM-VAE,0.3949,0.1258,0.5431,0,0.0035,0.0347,1,-
EWC,0.284,0.0609,0.4068,450,0.167,0.8311,1,-
ADER,0.323,0.0835,0.4549,450,0.133,0.6484,1,-
static,0.3664,0.0854,0.5212,0,0.0,0.0,2,
always+replay,0.2668,0.0726,0.3737,450,0.2465,0.8301,2,
periodic-4,0.2785,0.0478,0.4055,120,0.2215,0.178,2,
selective-gated,0.3669,0.0867,0.5212,450,-0.001,0.0125,2,143.7
GIRAM,0.371,0.0947,0.5231,0,0.003,0.0421,2,-
GIRAM+,0.367,0.0857,0.5218,0,0.0005,0.05,2,-
GIRAM-VAE,0.3893,0.1163,0.5396,0,-0.001,0.0337,2,-
EWC,0.2911,0.062,0.4173,450,0.1295,0.8337,2,-
ADER,0.3238,0.0824,0.4567,450,0.13,0.6634,2,-
static,0.3717,0.0984,0.5222,0,0.0,0.0,3,
always+replay,0.2685,0.0721,0.3767,450,0.26,0.8177,3,
periodic-4,0.2854,0.0567,0.4113,120,0.2145,0.1744,3,
selective-gated,0.3722,0.0996,0.5222,450,-0.0005,0.0102,3,138.2
GIRAM,0.3761,0.1073,0.5241,0,0.008,0.0418,3,-
GIRAM+,0.3727,0.0995,0.5231,0,-0.003,0.05,3,-
GIRAM-VAE,0.3944,0.1255,0.5424,0,-0.002,0.0333,3,-
EWC,0.2871,0.0644,0.4098,450,0.1655,0.8204,3,-
ADER,0.3237,0.0817,0.4568,450,0.1395,0.6431,3,-
static,0.3728,0.1046,0.5204,0,0.0,0.0,4,
always+replay,0.2661,0.0765,0.3705,450,0.2545,0.821,4,
periodic-4,0.2842,0.0578,0.4089,120,0.219,0.1758,4,
selective-gated,0.3734,0.1062,0.5204,450,-0.001,0.0101,4,140.5
GIRAM,0.3774,0.1139,0.5224,0,0.007,0.042,4,-
GIRAM+,0.3733,0.1049,0.521,0,0.001,0.05,4,-
GIRAM-VAE,0.3932,0.1299,0.5382,0,0.0025,0.0333,4,-
EWC,0.2834,0.0687,0.4016,450,0.172,0.8285,4,-
ADER,0.3266,0.0871,0.4585,450,0.132,0.6505,4,-
