policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,acc@1,acc@5,acc@10m,acc@20,mrr,seed,avg_users_upd
static,0.3194,0.0238,0.4822,0,0.0,0.0,0.1889,0.2938,0.3194,0.3412,0.2368,0,
always+replay,0.2651,0.0491,0.3841,450,0.2405,0.7542,0.1414,0.2351,0.2651,0.2944,0.1863,0,
periodic-4,0.2826,0.0311,0.4211,120,0.1385,0.1571,0.1497,0.2517,0.2826,0.3097,0.1976,0,
selective-gated,0.32,0.0253,0.4822,450,0.002,0.0151,0.1891,0.2943,0.32,0.3419,0.2372,0,172.7
GIRAM,0.3243,0.0339,0.4841,0,0.0035,0.0454,0.1915,0.298,0.3243,0.3481,0.2404,0,-
GIRAM+,0.3201,0.024,0.4831,0,-0.003,0.05,,,,,,0,-
GIRAM-VAE,0.3556,0.0654,0.5153,0,0.0005,0.035,0.1971,0.3219,0.3556,0.3843,0.2539,0,-
EWC,0.3088,0.0383,0.4577,450,0.0535,0.7293,0.1699,0.2807,0.3088,0.3337,0.2214,0,-
ADER,0.2971,0.049,0.4337,450,0.1585,0.6136,0.1651,0.2683,0.2971,0.3245,0.214,0,-
static,0.321,0.0228,0.4852,0,0.0,0.0,0.1923,0.2951,0.321,0.3431,0.2395,1,
always+replay,0.2653,0.0486,0.3846,450,0.199,0.762,0.1432,0.2336,0.2653,0.2956,0.187,1,
periodic-4,0.2779,0.0259,0.4166,120,0.132,0.1597,0.1509,0.2482,0.2779,0.3058,0.1972,1,
selective-gated,0.3213,0.0233,0.4853,450,0.0005,0.0157,0.1923,0.2953,0.3213,0.3435,0.2396,1,172.6
GIRAM,0.326,0.0328,0.4874,0,-0.0065,0.0462,0.1951,0.2995,0.326,0.3502,0.2433,1,-
GIRAM+,0.3215,0.0228,0.4859,0,-0.0065,0.05,,,,,,1,-
GIRAM-VAE,0.3566,0.0639,0.5177,0,-0.007,0.0361,0.2005,0.3222,0.3566,0.3863,0.2561,1,-
EWC,0.3052,0.035,0.4539,450,0.045,0.7379,0.1734,0.2766,0.3052,0.3311,0.2218,1,-
ADER,0.2971,0.0486,0.434,450,0.133,0.6124,0.1685,0.2675,0.2971,0.3256,0.2156,1,-
static,0.3183,0.0217,0.4817,0,0.0,0.0,0.1912,0.2931,0.3183,0.3389,0.2379,2,
always+replay,0.2654,0.0537,0.382,450,0.1935,0.7645,0.1409,0.2351,0.2654,0.2941,0.1861,2,
periodic-4,0.2775,0.0243,0.4168,120,0.135,0.1604,0.1489,0.2491,0.2775,0.3034,0.1957,2,
selective-gated,0.3189,0.0233,0.4817,450,-0.0005,0.016,0.1916,0.2936,0.3189,0.3396,0.2383,2,174.6
GIRAM,0.3232,0.0319,0.4836,0,-0.0025,0.0453,0.1936,0.2972,0.3232,0.3459,0.2413,2,-
GIRAM+,0.319,0.0218,0.4827,0,-0.004,0.05,,,,,,2,-
GIRAM-VAE,0.3534,0.0641,0.5127,0,-0.0085,0.035,0.1985,0.3189,0.3534,0.3824,0.2537,2,-
EWC,0.3068,0.039,0.4542,450,0.0405,0.7434,0.1692,0.279,0.3068,0.3317,0.2204,2,-
ADER,0.2956,0.0496,0.4309,450,0.138,0.6219,0.165,0.2673,0.2956,0.3224,0.2131,2,-
static,0.3221,0.0271,0.4844,0,0.0,0.0,0.1918,0.2968,0.3221,0.3431,0.2397,3,
always+replay,0.2669,0.0485,0.3871,450,0.201,0.7524,0.1428,0.2371,0.2669,0.2952,0.1879,3,
periodic-4,0.2831,0.0307,0.4221,120,0.131,0.1577,0.1492,0.2532,0.2831,0.3096,0.1979,3,
selective-gated,0.3228,0.0291,0.4846,450,0.0,0.0145,0.1921,0.2975,0.3228,0.344,0.2402,3,171.1
GIRAM,0.327,0.0372,0.4865,0,0.0035,0.0455,0.1944,0.301,0.327,0.3502,0.2433,3,-
GIRAM+,0.3229,0.0273,0.4857,0,-0.001,0.05,,,,,,3,-
GIRAM-VAE,0.3563,0.0674,0.5154,0,-0.0005,0.0353,0.2001,0.3222,0.3563,0.3842,0.256,3,-
EWC,0.3064,0.0384,0.454,450,0.052,0.7275,0.1703,0.2785,0.3064,0.3315,0.2205,3,-
ADER,0.2989,0.0476,0.4373,450,0.1335,0.6065,0.1667,0.2712,0.2989,0.3246,0.2158,3,-
static,0.3194,0.024,0.4821,0,0.0,0.0,0.1924,0.2953,0.3194,0.3413,0.2395,4,
always+replay,0.2637,0.0496,0.3815,450,0.2025,0.7581,0.1382,0.2344,0.2637,0.2923,0.1841,4,
periodic-4,0.28,0.0275,0.419,120,0.131,0.1593,0.1495,0.2512,0.28,0.3057,0.197,4,
selective-gated,0.3196,0.0245,0.4821,450,0.0015,0.0141,0.1924,0.2954,0.3196,0.3417,0.2396,4,173.9
GIRAM,0.3244,0.0342,0.4843,0,-0.0075,0.0454,0.1952,0.2997,0.3244,0.3484,0.2433,4,-
GIRAM+,0.3199,0.024,0.4828,0,-0.0085,0.05,,,,,,4,-
GIRAM-VAE,0.3544,0.064,0.5142,0,-0.006,0.0355,0.1992,0.3222,0.3544,0.3835,0.2554,4,-
EWC,0.3034,0.0364,0.4504,450,0.055,0.7338,0.1651,0.2761,0.3034,0.3287,0.2168,4,-
ADER,0.2932,0.0457,0.4294,450,0.127,0.6166,0.1621,0.2647,0.2932,0.3196,0.2106,4,-
