policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,seed,avg_users_upd
static,0.0954,0.044,0.1584,0,0.0,0.0,0,
always+replay,0.0814,0.0537,0.1154,450,0.178,0.8269,0,
periodic-4,0.0773,0.0429,0.1193,120,0.1435,0.1795,0,
selective-gated,0.0955,0.044,0.1584,450,-0.0065,0.016,0,304.4
GIRAM,0.0967,0.0443,0.1607,0,-0.0025,0.0538,0,-
EWC,0.0957,0.0524,0.1487,450,0.0715,0.7965,0,-
ADER,0.0924,0.06,0.1321,450,0.1555,0.7166,0,-
static,0.0993,0.0469,0.1633,0,0.0,0.0,1,
always+replay,0.0845,0.0555,0.1199,450,0.178,0.8143,1,
periodic-4,0.0805,0.0467,0.1217,120,0.1665,0.1773,1,
selective-gated,0.0993,0.0469,0.1634,450,-0.002,0.0138,1,302.3
GIRAM,0.1004,0.0472,0.1655,0,0.003,0.0547,1,-
EWC,0.1002,0.0558,0.1544,450,0.085,0.781,1,-
ADER,0.095,0.0622,0.1351,450,0.1525,0.7009,1,-
static,0.0973,0.0456,0.1606,0,0.0,0.0,2,
always+replay,0.0816,0.0551,0.1139,450,0.1915,0.8162,2,
periodic-4,0.0774,0.0424,0.1202,120,0.1555,0.1796,2,
selective-gated,0.0975,0.0456,0.1609,450,-0.0015,0.0161,2,303.3
GIRAM,0.0984,0.0458,0.1628,0,0.0135,0.055,2,-
EWC,0.0969,0.0551,0.148,450,0.08,0.7857,2,-
ADER,0.0921,0.0611,0.13,450,0.1605,0.7029,2,-
static,0.0978,0.0449,0.1625,0,0.0,0.0,3,
always+replay,0.083,0.0558,0.1163,450,0.162,0.8258,3,
periodic-4,0.0802,0.0449,0.1233,120,0.142,0.1778,3,
selective-gated,0.0978,0.0449,0.1626,450,-0.0015,0.0159,3,302.1
GIRAM,0.0989,0.0452,0.1647,0,-0.002,0.0549,3,-
EWC,0.0979,0.0537,0.1519,450,0.0695,0.7935,3,-
ADER,0.0919,0.06,0.131,450,0.1455,0.7118,3,-
static,0.0976,0.0444,0.1627,0,0.0,0.0,4,
always+replay,0.0808,0.0544,0.1131,450,0.15,0.8201,4,
periodic-4,0.08,0.0439,0.1241,120,0.136,0.179,4,
selective-gated,0.0976,0.0444,0.1627,450,-0.0035,0.0153,4,300.0
GIRAM,0.0988,0.0447,0.1649,0,-0.002,0.0552,4,-
EWC,0.0964,0.0532,0.1493,450,0.06,0.7944,4,-
ADER,0.0919,0.0607,0.1299,450,0.121,0.7123,4,-
