policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,seed,avg_users_upd
static,0.087,0.0335,0.1523,0,0.0,0.0,0,
always+replay,0.07,0.0466,0.0987,450,0.171,0.85,0,
periodic-4,0.0695,0.0401,0.1054,120,0.153,0.1849,0,
selective-gated,0.087,0.0335,0.1523,450,-0.004,0.0179,0,299.0
GIRAM,0.0887,0.0361,0.1532,0,-0.006,0.0558,0,-
GIRAM+,0.0873,0.0335,0.153,0,-0.0115,0.05,0,-
GIRAM-VAE,0.0894,0.0368,0.1538,0,-0.01,0.0491,0,-
EWC,0.0879,0.0475,0.1372,450,0.1005,0.8313,0,-
ADER,0.0803,0.0522,0.1146,450,0.149,0.7361,0,-
static,0.0872,0.033,0.1536,0,0.0,0.0,1,
always+replay,0.0697,0.0487,0.0954,450,0.152,0.8587,1,
periodic-4,0.0668,0.0373,0.1029,120,0.1425,0.1874,1,
selective-gated,0.0872,0.033,0.1536,450,-0.0035,0.0183,1,299.0
GIRAM,0.0891,0.0355,0.1546,0,-0.0095,0.0576,1,-
GIRAM+,0.0875,0.033,0.1543,0,-0.01,0.05,1,-
GIRAM-VAE,0.0899,0.0366,0.155,0,-0.0195,0.0517,1,-
EWC,0.086,0.0468,0.1339,450,0.0825,0.8374,1,-
ADER,0.0804,0.0527,0.1144,450,0.1255,0.7428,1,-
static,0.0868,0.0357,0.1494,0,0.0,0.0,2,
always+replay,0.0722,0.0496,0.0997,450,0.161,0.8531,2,
periodic-4,0.0695,0.0396,0.1062,120,0.145,0.185,2,
selective-gated,0.0868,0.0357,0.1495,450,-0.0005,0.0179,2,298.9
GIRAM,0.0886,0.0382,0.1504,0,-0.0125,0.0563,2,-
GIRAM+,0.0871,0.0357,0.15,0,-0.013,0.05,2,-
GIRAM-VAE,0.0892,0.0388,0.1508,0,-0.017,0.0504,2,-
EWC,0.0863,0.049,0.1319,450,0.0955,0.8361,2,-
ADER,0.0809,0.0538,0.114,450,0.133,0.7426,2,-
static,0.085,0.0342,0.1472,0,0.0,0.0,3,
always+replay,0.0695,0.0472,0.0968,450,0.1715,0.8606,3,
periodic-4,0.0697,0.0386,0.1078,120,0.144,0.1867,3,
selective-gated,0.085,0.0342,0.1472,450,-0.0005,0.0181,3,299.3
GIRAM,0.0869,0.0368,0.1482,0,-0.0095,0.0561,3,-
GIRAM+,0.0853,0.0343,0.1478,0,-0.017,0.05,3,-
GIRAM-VAE,0.0878,0.0378,0.1489,0,-0.0135,0.0505,3,-
EWC,0.086,0.0462,0.1346,450,0.0885,0.8391,3,-
ADER,0.0815,0.0533,0.1161,450,0.1455,0.743,3,-
static,0.086,0.0343,0.1492,0,0.0,0.0,4,
always+replay,0.0717,0.0491,0.0994,450,0.1695,0.8518,4,
periodic-4,0.0716,0.0412,0.1087,120,0.1495,0.1839,4,
selective-gated,0.0861,0.0344,0.1494,450,-0.0075,0.0172,4,299.5
GIRAM,0.0879,0.0369,0.1503,0,-0.0005,0.0557,4,-
GIRAM+,0.0863,0.0344,0.1499,0,-0.014,0.05,4,-
GIRAM-VAE,0.0887,0.0377,0.1511,0,-0.009,0.0495,4,-
EWC,0.0873,0.0492,0.134,450,0.0905,0.8283,4,-
ADER,0.0824,0.0548,0.1161,450,0.1445,0.7332,4,-
