policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,seed,avg_users_upd
static,0.1288,0.0786,0.1902,0,0.0,0.0,0,
always+replay,0.098,0.0737,0.1278,450,0.2295,0.8397,0,
periodic-4,0.0947,0.0663,0.1294,120,0.204,0.1816,0,
selective-gated,0.1289,0.0788,0.1902,450,-0.005,0.013,0,269.6
GIRAM,0.1304,0.0809,0.191,0,0.0185,0.0505,0,-
GIRAM+,0.1293,0.0791,0.1907,0,-0.001,0.05,0,-
GIRAM-VAE,0.1307,0.0814,0.1912,0,0.01,0.0425,0,-
EWC,0.1109,0.0763,0.1532,450,0.167,0.8254,0,-
ADER,0.1144,0.0848,0.1506,450,0.188,0.7002,0,-
static,0.1232,0.0729,0.1848,0,0.0,0.0,1,
always+replay,0.0964,0.0752,0.1223,450,0.2235,0.8399,1,
periodic-4,0.0889,0.0619,0.122,120,0.198,0.1847,1,
selective-gated,0.1233,0.073,0.1849,450,-0.002,0.0134,1,273.7
GIRAM,0.1249,0.0752,0.1857,0,0.027,0.0523,1,-
GIRAM+,0.1238,0.0736,0.1853,0,-0.0065,0.05,1,-
GIRAM-VAE,0.1254,0.0757,0.1862,0,0.011,0.0443,1,-
EWC,0.1086,0.0775,0.1467,450,0.1715,0.828,1,-
ADER,0.1125,0.084,0.1473,450,0.1815,0.7018,1,-
static,0.1274,0.0775,0.1885,0,0.0,0.0,2,
always+replay,0.0997,0.0752,0.1297,450,0.231,0.8423,2,
periodic-4,0.0952,0.0662,0.1307,120,0.208,0.1841,2,
selective-gated,0.1275,0.0777,0.1885,450,-0.0015,0.0132,2,269.9
GIRAM,0.1292,0.0798,0.1897,0,0.0225,0.0506,2,-
GIRAM+,0.1279,0.0779,0.1891,0,-0.0045,0.05,2,-
GIRAM-VAE,0.1299,0.0805,0.1903,0,0.0045,0.0421,2,-
EWC,0.111,0.0793,0.1498,450,0.18,0.8275,2,-
ADER,0.1139,0.0838,0.1507,450,0.19,0.7075,2,-
static,0.127,0.0774,0.1876,0,0.0,0.0,3,
always+replay,0.0998,0.0755,0.1297,450,0.2135,0.8423,3,
periodic-4,0.0944,0.0652,0.1301,120,0.1935,0.1843,3,
selective-gated,0.1271,0.0775,0.1878,450,-0.0035,0.0131,3,272.0
GIRAM,0.1287,0.0798,0.1885,0,0.013,0.0507,3,-
GIRAM+,0.1275,0.078,0.1882,0,-0.009,0.05,3,-
GIRAM-VAE,0.1291,0.0805,0.1886,0,-0.004,0.0429,3,-
EWC,0.1125,0.0783,0.1545,450,0.1555,0.8281,3,-
ADER,0.1159,0.085,0.1539,450,0.1625,0.7028,3,-
static,0.1277,0.0763,0.1905,0,0.0,0.0,4,
always+replay,0.0994,0.0761,0.1279,450,0.213,0.8382,4,
periodic-4,0.0946,0.0647,0.1312,120,0.2025,0.184,4,
selective-gated,0.1278,0.0766,0.1906,450,-0.006,0.013,4,271.7
GIRAM,0.1294,0.0787,0.1914,0,0.0285,0.0498,4,-
GIRAM+,0.1281,0.0767,0.1911,0,-0.009,0.05,4,-
GIRAM-VAE,0.1298,0.0792,0.1917,0,0.0105,0.0421,4,-
EWC,0.111,0.0766,0.153,450,0.15,0.8255,4,-
ADER,0.1151,0.0856,0.1511,450,0.1765,0.7029,4,-
