policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,acc@1,acc@5,acc@10m,acc@20,mrr,seed,avg_users_upd
static,0.0883,0.0403,0.147,0,0.0,0.0,0.035,0.0698,0.0883,0.1098,0.0541,0,
always+replay,0.0725,0.0493,0.1009,450,0.186,0.8347,0.0235,0.0539,0.0725,0.0956,0.0409,0,
periodic-4,0.0692,0.0415,0.1031,120,0.161,0.1809,0.023,0.0519,0.0692,0.0904,0.0395,0,
selective-gated,0.0883,0.0403,0.147,450,-0.001,0.0159,0.035,0.0698,0.0883,0.1098,0.0541,0,298.1
GIRAM,0.0901,0.0429,0.1479,0,-0.0035,0.0551,0.0358,0.0714,0.0901,0.1118,0.0552,0,-
GIRAM+,0.0886,0.0403,0.1477,0,-0.0075,0.05,,,,,,0,-
GIRAM-VAE,0.091,0.0434,0.1493,0,-0.0125,0.047,0.0358,0.0722,0.091,0.1132,0.0556,0,-
EWC,0.0892,0.0504,0.1368,450,0.0745,0.801,0.0313,0.0684,0.0892,0.1149,0.0517,0,-
ADER,0.0823,0.0553,0.1154,450,0.17,0.7225,0.0275,0.062,0.0823,0.1075,0.0468,0,-
static,0.0868,0.0388,0.1456,0,0.0,0.0,0.0335,0.0686,0.0868,0.1079,0.0525,1,
always+replay,0.0715,0.0507,0.0969,450,0.17,0.8337,0.0227,0.0525,0.0715,0.0942,0.0397,1,
periodic-4,0.0684,0.0415,0.1014,120,0.149,0.1801,0.0228,0.0513,0.0684,0.0885,0.0389,1,
selective-gated,0.0868,0.0388,0.1456,450,-0.002,0.0164,0.0335,0.0686,0.0868,0.1079,0.0525,1,298.3
GIRAM,0.0887,0.0413,0.1468,0,0.0,0.0563,0.0343,0.0703,0.0887,0.11,0.0536,1,-
GIRAM+,0.0871,0.0388,0.1463,0,-0.0115,0.05,,,,,,1,-
GIRAM-VAE,0.09,0.042,0.1486,0,-0.007,0.0491,0.0346,0.0713,0.09,0.1115,0.0544,1,-
EWC,0.0877,0.0503,0.1335,450,0.0765,0.8003,0.0302,0.0663,0.0877,0.1124,0.0501,1,-
ADER,0.0814,0.0554,0.1133,450,0.1365,0.7218,0.0266,0.0608,0.0814,0.1058,0.0457,1,-
static,0.0881,0.0403,0.1465,0,0.0,0.0,0.0339,0.0694,0.0881,0.1094,0.053,2,
always+replay,0.0742,0.0521,0.1013,450,0.175,0.8304,0.0239,0.055,0.0742,0.097,0.0415,2,
periodic-4,0.0724,0.0422,0.1092,120,0.1515,0.1805,0.0251,0.0551,0.0724,0.0934,0.0419,2,
selective-gated,0.0881,0.0403,0.1465,450,-0.0035,0.0165,0.0339,0.0693,0.0881,0.1094,0.053,2,298.1
GIRAM,0.0899,0.0428,0.1475,0,-0.0045,0.0555,0.0347,0.071,0.0899,0.1114,0.0542,2,-
GIRAM+,0.0884,0.0403,0.1471,0,-0.01,0.05,,,,,,2,-
GIRAM-VAE,0.0906,0.0434,0.1484,0,-0.01,0.0484,0.0349,0.0717,0.0906,0.1125,0.0546,2,-
EWC,0.0893,0.0509,0.1362,450,0.0735,0.8057,0.0308,0.0682,0.0893,0.114,0.0514,2,-
ADER,0.0829,0.0571,0.1144,450,0.148,0.7255,0.0276,0.0626,0.0829,0.108,0.0471,2,-
static,0.0891,0.0403,0.1488,0,0.0,0.0,0.0353,0.0707,0.0891,0.1105,0.0544,3,
always+replay,0.0749,0.0518,0.1031,450,0.1675,0.837,0.0247,0.0559,0.0749,0.0976,0.0423,3,
periodic-4,0.0734,0.0434,0.1102,120,0.127,0.1815,0.0254,0.0556,0.0734,0.0944,0.0423,3,
selective-gated,0.0891,0.0403,0.1488,450,-0.0005,0.0162,0.0353,0.0708,0.0891,0.1104,0.0544,3,296.8
GIRAM,0.091,0.0429,0.1498,0,-0.005,0.0548,0.0362,0.0724,0.091,0.1125,0.0555,3,-
GIRAM+,0.0894,0.0403,0.1495,0,-0.017,0.05,,,,,,3,-
GIRAM-VAE,0.0918,0.0436,0.1507,0,-0.016,0.0481,0.0363,0.0731,0.0918,0.114,0.0561,3,-
EWC,0.0912,0.0519,0.1393,450,0.0715,0.8025,0.0319,0.0701,0.0912,0.1156,0.0524,3,-
ADER,0.0848,0.0572,0.1186,450,0.1395,0.7238,0.0287,0.0648,0.0848,0.1097,0.0485,3,-
static,0.0902,0.0408,0.1507,0,0.0,0.0,0.0356,0.0717,0.0902,0.1114,0.0549,4,
always+replay,0.0754,0.0524,0.1036,450,0.1755,0.8263,0.0246,0.0558,0.0754,0.0992,0.0426,4,
periodic-4,0.073,0.0437,0.1089,120,0.1455,0.1797,0.0245,0.0551,0.073,0.0953,0.0416,4,
selective-gated,0.0903,0.0408,0.1509,450,-0.002,0.016,0.0357,0.0718,0.0903,0.1115,0.0549,4,295.5
GIRAM,0.0921,0.0434,0.1518,0,-0.0085,0.0544,0.0366,0.0734,0.0921,0.1135,0.0561,4,-
GIRAM+,0.0905,0.0408,0.1514,0,-0.0115,0.05,,,,,,4,-
GIRAM-VAE,0.0932,0.0441,0.1532,0,-0.011,0.0477,0.0367,0.0742,0.0932,0.1149,0.0567,4,-
EWC,0.0917,0.0522,0.1399,450,0.077,0.796,0.0322,0.0704,0.0917,0.1164,0.053,4,-
ADER,0.0851,0.0579,0.1185,450,0.1515,0.7133,0.0279,0.0639,0.0851,0.1109,0.048,4,-
