policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,seed,avg_users_upd
static,0.3325,0.0072,0.3768,0,0.0,0.0,0,
always+replay,0.2322,0.0072,0.2629,450,0.2045,0.761,0,
periodic-4,0.2533,0.0103,0.2863,120,0.1935,0.1624,0,
selective-gated,0.3322,0.0072,0.3764,420,0.0,0.0125,0,35.9
GIRAM,0.3366,0.0072,0.3814,0,-0.019,0.0467,0,-
EWC,0.288,0.005,0.3265,450,0.079,0.7347,0,-
ADER,0.2721,0.0102,0.3077,450,0.13,0.6094,0,-
static,0.3359,0.0059,0.3808,0,0.0,0.0,1,
always+replay,0.2361,0.0067,0.2673,450,0.2215,0.7619,1,
periodic-4,0.2583,0.0065,0.2925,120,0.1765,0.1622,1,
selective-gated,0.3358,0.0059,0.3807,420,-0.0015,0.0124,1,36.5
GIRAM,0.3408,0.0059,0.3864,0,-0.01,0.0469,1,-
EWC,0.2879,0.0072,0.3261,450,0.074,0.738,1,-
ADER,0.2769,0.0072,0.3136,450,0.1365,0.6111,1,-
static,0.3306,0.0028,0.3753,0,0.0,0.0,2,
always+replay,0.2322,0.0067,0.2629,450,0.2175,0.7563,2,
periodic-4,0.253,0.006,0.2866,120,0.191,0.1628,2,
selective-gated,0.3304,0.0028,0.375,420,-0.0025,0.0124,2,36.7
GIRAM,0.3358,0.0028,0.3811,0,-0.03,0.0474,2,-
EWC,0.2824,0.0052,0.3201,450,0.0905,0.7341,2,-
ADER,0.272,0.0045,0.3084,450,0.14,0.6042,2,-
static,0.3348,0.0034,0.3799,0,0.0,0.0,3,
always+replay,0.2323,0.0062,0.263,450,0.2225,0.7597,3,
periodic-4,0.2576,0.0053,0.2919,120,0.1975,0.1642,3,
selective-gated,0.335,0.0034,0.3801,420,-0.0025,0.0127,3,36.9
GIRAM,0.3392,0.0034,0.3849,0,-0.02,0.0479,3,-
EWC,0.2883,0.0062,0.3267,450,0.0825,0.7385,3,-
ADER,0.2774,0.0055,0.3144,450,0.1435,0.6113,3,-
static,0.3288,0.0091,0.3723,0,0.0,0.0,4,
always+replay,0.2321,0.0091,0.2625,450,0.2165,0.7572,4,
periodic-4,0.256,0.0091,0.2896,120,0.2035,0.1611,4,
selective-gated,0.3287,0.0091,0.3722,420,0.0005,0.0133,4,36.9
GIRAM,0.333,0.0091,0.377,0,-0.008,0.0479,4,-
EWC,0.2806,0.0076,0.3177,450,0.075,0.7399,4,-
ADER,0.2719,0.0097,0.3076,450,0.1305,0.6079,4,-
