policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,seed,avg_users_upd
static,0.3192,0.0042,0.3617,0,0.0,0.0,0,
always+replay,0.2128,0.0136,0.2396,450,0.232,0.7935,0,
periodic-4,0.2151,0.0044,0.2435,120,0.225,0.1729,0,
selective-gated,0.3193,0.0044,0.3617,390,-0.004,0.013,0,39.0
GIRAM,0.3264,0.027,0.3667,0,-0.0275,0.0468,0,-
GIRAM+,0.3214,0.0042,0.3642,0,-0.0265,0.05,0,-
GIRAM-VAE,0.3307,0.0219,0.3724,0,-0.0385,0.0385,0,-
EWC,0.2407,0.0109,0.2717,450,0.187,0.8006,0,-
ADER,0.2488,0.0106,0.2809,450,0.151,0.6325,0,-
static,0.3128,0.0036,0.3545,0,0.0,0.0,1,
always+replay,0.2093,0.0148,0.2356,450,0.2295,0.8012,1,
periodic-4,0.2112,0.0071,0.2387,120,0.228,0.1736,1,
selective-gated,0.3129,0.0036,0.3545,390,0.0005,0.0119,1,39.3
GIRAM,0.3205,0.0249,0.3603,0,-0.019,0.0471,1,-
GIRAM+,0.3159,0.0036,0.358,0,-0.0205,0.05,1,-
GIRAM-VAE,0.3256,0.02,0.3668,0,-0.0275,0.039,1,-
EWC,0.2396,0.014,0.27,450,0.176,0.8061,1,-
ADER,0.2429,0.013,0.2739,450,0.1565,0.6303,1,-
static,0.316,0.0038,0.3581,0,0.0,0.0,2,
always+replay,0.2132,0.0146,0.24,450,0.2465,0.7995,2,
periodic-4,0.2208,0.0042,0.25,120,0.2105,0.1729,2,
selective-gated,0.316,0.004,0.3581,390,-0.005,0.0125,2,38.9
GIRAM,0.3233,0.0257,0.3635,0,-0.023,0.0481,2,-
GIRAM+,0.3189,0.0038,0.3613,0,-0.0185,0.05,2,-
GIRAM-VAE,0.3281,0.0224,0.3693,0,-0.0275,0.0399,2,-
EWC,0.2435,0.0152,0.2743,450,0.1725,0.8044,2,-
ADER,0.2477,0.0123,0.2794,450,0.157,0.6307,2,-
static,0.3163,0.0036,0.3584,0,0.0,0.0,3,
always+replay,0.2109,0.014,0.2374,450,0.238,0.8024,3,
periodic-4,0.2192,0.0035,0.2483,120,0.199,0.1751,3,
selective-gated,0.3163,0.0036,0.3585,400,-0.0035,0.0134,3,38.7
GIRAM,0.3237,0.0251,0.3639,0,-0.0235,0.0488,3,-
GIRAM+,0.3189,0.0036,0.3613,0,-0.0235,0.05,3,-
GIRAM-VAE,0.3272,0.0213,0.3684,0,-0.027,0.0415,3,-
EWC,0.2433,0.0134,0.2743,450,0.1615,0.809,3,-
ADER,0.2481,0.0119,0.2799,450,0.1485,0.6335,3,-
static,0.3149,0.0061,0.3565,0,0.0,0.0,4,
always+replay,0.2096,0.0125,0.2362,450,0.2425,0.7949,4,
periodic-4,0.2131,0.005,0.2411,120,0.2235,0.1722,4,
selective-gated,0.3151,0.0065,0.3566,390,-0.002,0.0124,4,38.5
GIRAM,0.3221,0.0293,0.3615,0,-0.026,0.0482,4,-
GIRAM+,0.3174,0.0061,0.3593,0,-0.0265,0.05,4,-
GIRAM-VAE,0.3256,0.0259,0.366,0,-0.0315,0.0395,4,-
EWC,0.239,0.0136,0.2694,450,0.162,0.803,4,-
ADER,0.2452,0.0106,0.2768,450,0.161,0.6343,4,-
