policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,seed,avg_users_upd
static,0.3479,0.0129,0.3931,0,0.0,0.0,0,
always+replay,0.2648,0.0203,0.2977,450,0.183,0.772,0,
periodic-4,0.2573,0.0088,0.2908,120,0.1775,0.1679,0,
selective-gated,0.3479,0.0129,0.3931,360,-0.005,0.0096,0,36.5
GIRAM,0.3547,0.0353,0.3978,0,-0.013,0.0441,0,-
GIRAM+,0.3498,0.0129,0.3952,0,-0.019,0.05,0,-
GIRAM-VAE,0.3549,0.0301,0.3987,0,-0.029,0.0364,0,-
EWC,0.236,0.0176,0.2654,450,0.216,0.8023,0,-
ADER,0.3022,0.0159,0.3408,450,0.118,0.5916,0,-
static,0.3451,0.0117,0.3901,0,0.0,0.0,1,
always+replay,0.2616,0.0209,0.294,450,0.1855,0.7753,1,
periodic-4,0.2605,0.009,0.2944,120,0.1715,0.168,1,
selective-gated,0.3451,0.0117,0.3901,380,-0.002,0.0101,1,37.0
GIRAM,0.3524,0.0328,0.3955,0,-0.0065,0.0434,1,-
GIRAM+,0.3475,0.0123,0.3926,0,-0.014,0.05,1,-
GIRAM-VAE,0.3537,0.0301,0.3972,0,-0.0095,0.0358,1,-
EWC,0.2405,0.0175,0.2706,450,0.2205,0.804,1,-
ADER,0.2971,0.0155,0.3351,450,0.111,0.5911,1,-
static,0.3446,0.0117,0.3894,0,0.0,0.0,2,
always+replay,0.2586,0.0249,0.2901,450,0.199,0.7785,2,
periodic-4,0.265,0.0125,0.299,120,0.1905,0.1693,2,
selective-gated,0.3447,0.0125,0.3894,380,0.0005,0.0104,2,37.6
GIRAM,0.3524,0.0332,0.3954,0,0.0085,0.0447,2,-
GIRAM+,0.3468,0.0119,0.3919,0,-0.0095,0.05,2,-
GIRAM-VAE,0.3542,0.0305,0.3978,0,-0.0045,0.0377,2,-
EWC,0.2395,0.0242,0.2686,450,0.2205,0.814,2,-
ADER,0.2938,0.0203,0.3307,450,0.115,0.6077,2,-
static,0.3515,0.0134,0.397,0,0.0,0.0,3,
always+replay,0.269,0.0224,0.3022,450,0.171,0.7757,3,
periodic-4,0.2625,0.0082,0.2968,120,0.153,0.1678,3,
selective-gated,0.3515,0.0134,0.3971,400,0.001,0.0112,3,37.6
GIRAM,0.3585,0.0341,0.4022,0,-0.0125,0.045,3,-
GIRAM+,0.3538,0.0134,0.3996,0,-0.0185,0.05,3,-
GIRAM-VAE,0.3594,0.0315,0.4036,0,-0.0165,0.0383,3,-
EWC,0.2379,0.0226,0.267,450,0.1945,0.8076,3,-
ADER,0.3049,0.0188,0.3435,450,0.1025,0.5913,3,-
static,0.3473,0.0148,0.3921,0,0.0,0.0,4,
always+replay,0.2603,0.0232,0.2923,450,0.1755,0.7679,4,
periodic-4,0.2586,0.0092,0.2922,120,0.1655,0.1672,4,
selective-gated,0.3474,0.0152,0.3921,360,0.0005,0.0099,4,36.7
GIRAM,0.3542,0.0372,0.3969,0,-0.0035,0.0447,4,-
GIRAM+,0.3492,0.0152,0.3942,0,-0.015,0.05,4,-
GIRAM-VAE,0.3559,0.0345,0.3992,0,-0.0095,0.0369,4,-
EWC,0.2391,0.0219,0.2683,450,0.1695,0.8021,4,-
ADER,0.2959,0.0159,0.3336,450,0.118,0.5949,4,-
