policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,acc@1,acc@5,acc@10m,acc@20,mrr,seed,avg_users_upd
static,0.3161,0.0058,0.3579,0,0.0,0.0,0.1484,0.2717,0.3161,0.3575,0.2064,0,
always+replay,0.2233,0.0134,0.2515,450,0.2155,0.7704,0.0943,0.1823,0.2233,0.2654,0.1385,0,
periodic-4,0.2341,0.0048,0.265,120,0.2025,0.1661,0.0997,0.1938,0.2341,0.2761,0.1463,0,
selective-gated,0.3161,0.0058,0.358,400,-0.004,0.0126,0.1484,0.2717,0.3161,0.3576,0.2065,0,38.7
GIRAM,0.3239,0.0272,0.3639,0,-0.014,0.0479,0.1498,0.2764,0.3239,0.3685,0.2096,0,-
GIRAM+,0.3183,0.0058,0.3604,0,-0.018,0.05,,,,,,0,-
GIRAM-VAE,0.327,0.0232,0.3679,0,-0.0255,0.0389,0.1493,0.2772,0.327,0.3743,0.2099,0,-
EWC,0.2689,0.0136,0.3032,450,0.096,0.7512,0.1109,0.2193,0.2689,0.316,0.1642,0,-
ADER,0.2653,0.0109,0.2996,450,0.132,0.6186,0.1144,0.2188,0.2653,0.3077,0.1649,0,-
static,0.3167,0.0059,0.3586,0,0.0,0.0,0.1484,0.2711,0.3167,0.3569,0.2061,1,
always+replay,0.2218,0.0134,0.2499,450,0.225,0.7782,0.0923,0.1806,0.2218,0.2633,0.1371,1,
periodic-4,0.2311,0.0058,0.2614,120,0.207,0.1673,0.0976,0.1899,0.2311,0.2702,0.1436,1,
selective-gated,0.3167,0.0059,0.3586,390,-0.0025,0.0113,0.1484,0.2711,0.3167,0.3568,0.2061,1,39.8
GIRAM,0.3248,0.0282,0.3648,0,-0.021,0.0482,0.1497,0.2765,0.3248,0.3686,0.2095,1,-
GIRAM+,0.3195,0.0059,0.3618,0,-0.0245,0.05,,,,,,1,-
GIRAM-VAE,0.3278,0.023,0.3688,0,-0.024,0.0396,0.1492,0.277,0.3278,0.3757,0.2099,1,-
EWC,0.2624,0.0142,0.2958,450,0.103,0.7603,0.1068,0.2148,0.2624,0.31,0.1596,1,-
ADER,0.2577,0.0119,0.2909,450,0.1545,0.6215,0.1121,0.2135,0.2577,0.3006,0.1619,1,-
static,0.3143,0.0069,0.3557,0,0.0,0.0,0.1464,0.2686,0.3143,0.3532,0.2042,2,
always+replay,0.2182,0.0167,0.2453,450,0.2195,0.772,0.0902,0.1804,0.2182,0.2605,0.1348,2,
periodic-4,0.2357,0.0059,0.2667,120,0.2025,0.1671,0.0969,0.1928,0.2357,0.2766,0.1442,2,
selective-gated,0.3144,0.0082,0.3557,390,-0.0025,0.0114,0.1464,0.2687,0.3144,0.3535,0.2043,2,39.7
GIRAM,0.3223,0.029,0.3618,0,-0.015,0.0494,0.1476,0.2735,0.3223,0.3651,0.2074,2,-
GIRAM+,0.317,0.0069,0.3588,0,-0.0145,0.05,,,,,,2,-
GIRAM-VAE,0.3255,0.0253,0.3659,0,-0.0225,0.0405,0.1474,0.2747,0.3255,0.3711,0.208,2,-
EWC,0.2658,0.0196,0.299,450,0.099,0.7561,0.1116,0.2183,0.2658,0.3132,0.1641,2,-
ADER,0.2587,0.0138,0.2917,450,0.1385,0.6219,0.1126,0.2166,0.2587,0.2999,0.1627,2,-
static,0.3187,0.0052,0.3609,0,0.0,0.0,0.1482,0.272,0.3187,0.3591,0.2069,3,
always+replay,0.2203,0.0167,0.2477,450,0.204,0.7817,0.0921,0.1804,0.2203,0.2624,0.1366,3,
periodic-4,0.2287,0.0044,0.2589,120,0.181,0.1672,0.0957,0.1881,0.2287,0.2721,0.1414,3,
selective-gated,0.3187,0.0052,0.361,400,0.001,0.0136,0.1483,0.272,0.3187,0.3592,0.2069,3,40.1
GIRAM,0.327,0.0274,0.3674,0,-0.0265,0.0491,0.1492,0.2771,0.327,0.3709,0.2099,3,-
GIRAM+,0.3213,0.0052,0.3639,0,-0.022,0.05,,,,,,3,-
GIRAM-VAE,0.3303,0.0219,0.3718,0,-0.0335,0.0409,0.1491,0.2789,0.3303,0.3783,0.2107,3,-
EWC,0.2667,0.0165,0.3004,450,0.079,0.7597,0.1097,0.2193,0.2667,0.3128,0.1631,3,-
ADER,0.2587,0.0129,0.2919,450,0.131,0.6241,0.1105,0.215,0.2587,0.3023,0.1615,3,-
static,0.3152,0.005,0.357,0,0.0,0.0,0.1434,0.2687,0.3152,0.3568,0.2019,4,
always+replay,0.2178,0.0132,0.2453,450,0.245,0.7672,0.0897,0.1778,0.2178,0.2604,0.1334,4,
periodic-4,0.2241,0.0029,0.2539,120,0.2215,0.1635,0.0967,0.1842,0.2241,0.2668,0.1408,4,
selective-gated,0.3152,0.005,0.357,400,0.0,0.0134,0.1435,0.2688,0.3152,0.3569,0.2019,4,38.6
GIRAM,0.3228,0.0274,0.3626,0,-0.0155,0.0479,0.1448,0.2741,0.3228,0.3683,0.2052,4,-
GIRAM+,0.3179,0.005,0.36,0,-0.023,0.05,,,,,,4,-
GIRAM-VAE,0.3265,0.0238,0.3673,0,-0.021,0.0396,0.1441,0.2752,0.3265,0.3753,0.2055,4,-
EWC,0.2684,0.0155,0.3024,450,0.0965,0.7516,0.1067,0.2177,0.2684,0.3141,0.1607,4,-
ADER,0.2555,0.0094,0.2886,450,0.152,0.6233,0.1114,0.2121,0.2555,0.2992,0.1609,4,-
