policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,seed,avg_users_upd
static,0.3507,0.0828,0.3892,0,0.0,0.0,0,
always+replay,0.2718,0.0825,0.299,450,0.177,0.6905,0,
periodic-4,0.2954,0.0787,0.3266,120,0.134,0.1468,0,
selective-gated,0.3508,0.0829,0.3893,450,-0.002,0.0079,0,68.6
GIRAM,0.3517,0.0832,0.3903,0,-0.025,0.0446,0,-
EWC,0.3249,0.0789,0.3603,450,0.0445,0.6434,0,-
ADER,0.3051,0.0872,0.3364,450,0.125,0.5439,0,-
static,0.3531,0.0925,0.3905,0,0.0,0.0,1,
always+replay,0.2708,0.0893,0.2969,450,0.1625,0.6959,1,
periodic-4,0.2962,0.0809,0.3271,120,0.145,0.1463,1,
selective-gated,0.3531,0.0925,0.3905,450,0.0005,0.0082,1,67.9
GIRAM,0.3538,0.0928,0.3913,0,-0.0125,0.0454,1,-
EWC,0.3269,0.0902,0.3609,450,0.0575,0.646,1,-
ADER,0.3048,0.1019,0.334,450,0.1255,0.5493,1,-
static,0.3541,0.1072,0.3896,0,0.0,0.0,2,
always+replay,0.2764,0.0972,0.3021,450,0.1755,0.6937,2,
periodic-4,0.2997,0.0931,0.3294,120,0.1315,0.1456,2,
selective-gated,0.3541,0.1073,0.3896,450,-0.003,0.0073,2,66.9
GIRAM,0.355,0.1075,0.3906,0,-0.0175,0.0458,2,-
EWC,0.328,0.0977,0.3611,450,0.0575,0.6432,2,-
ADER,0.3071,0.1027,0.3365,450,0.115,0.5499,2,-
static,0.3565,0.1039,0.3928,0,0.0,0.0,3,
always+replay,0.2729,0.0915,0.299,450,0.176,0.7017,3,
periodic-4,0.3005,0.0899,0.3307,120,0.135,0.1483,3,
selective-gated,0.3565,0.1039,0.3928,450,-0.0015,0.0074,3,66.4
GIRAM,0.3574,0.104,0.3938,0,-0.022,0.0456,3,-
EWC,0.3307,0.0933,0.3648,450,0.062,0.6496,3,-
ADER,0.3081,0.0991,0.3381,450,0.1335,0.5458,3,-
static,0.3523,0.0929,0.3896,0,0.0,0.0,4,
always+replay,0.2743,0.0921,0.3005,450,0.176,0.683,4,
periodic-4,0.2992,0.0889,0.3294,120,0.1365,0.1447,4,
selective-gated,0.3523,0.0929,0.3896,450,0.0005,0.0069,4,68.4
GIRAM,0.3532,0.0931,0.3905,0,0.002,0.0448,4,-
EWC,0.3279,0.0888,0.3623,450,0.055,0.6355,4,-
ADER,0.3044,0.0937,0.3347,450,0.133,0.5429,4,-
