policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,seed,avg_users_upd
static,0.33,0.0912,0.365,0,0.0,0.0,0,
always+replay,0.245,0.0827,0.2687,450,0.209,0.7292,0,
periodic-4,0.269,0.0765,0.2972,120,0.1685,0.1559,0,
selective-gated,0.33,0.0914,0.365,450,-0.0045,0.0088,0,72.8
GIRAM,0.3321,0.0932,0.367,0,-0.0075,0.0457,0,-
GIRAM+,0.3313,0.0914,0.3664,0,-0.0155,0.05,0,-
GIRAM-VAE,0.3367,0.0989,0.3715,0,-0.0185,0.037,0,-
EWC,0.3007,0.0813,0.3328,450,0.0885,0.6943,0,-
ADER,0.2829,0.093,0.3107,450,0.154,0.5676,0,-
static,0.3314,0.0824,0.3678,0,0.0,0.0,1,
always+replay,0.2497,0.0806,0.2744,450,0.1945,0.7276,1,
periodic-4,0.2716,0.0726,0.3007,120,0.16,0.1554,1,
selective-gated,0.3314,0.0827,0.3678,450,-0.0045,0.0088,1,73.9
GIRAM,0.3331,0.0844,0.3695,0,-0.0105,0.0462,1,-
GIRAM+,0.3325,0.0825,0.3691,0,-0.019,0.05,1,-
GIRAM-VAE,0.3372,0.0889,0.3735,0,-0.0205,0.0372,1,-
EWC,0.3012,0.0777,0.3339,450,0.0785,0.695,1,-
ADER,0.2827,0.0873,0.3113,450,0.126,0.5772,1,-
static,0.3309,0.0887,0.3663,0,0.0,0.0,2,
always+replay,0.2511,0.0854,0.2754,450,0.1865,0.7242,2,
periodic-4,0.2749,0.0819,0.3031,120,0.1685,0.1551,2,
selective-gated,0.3309,0.0888,0.3663,450,-0.0005,0.0086,2,72.2
GIRAM,0.3325,0.0907,0.3679,0,-0.0165,0.0457,2,-
GIRAM+,0.3321,0.0887,0.3677,0,-0.0195,0.05,2,-
GIRAM-VAE,0.3356,0.0942,0.371,0,-0.0235,0.0367,2,-
EWC,0.3051,0.0807,0.338,450,0.079,0.6909,2,-
ADER,0.2863,0.0929,0.3146,450,0.1385,0.5681,2,-
static,0.333,0.0977,0.3675,0,0.0,0.0,3,
always+replay,0.2444,0.0817,0.2682,450,0.203,0.7318,3,
periodic-4,0.2687,0.0822,0.296,120,0.167,0.1575,3,
selective-gated,0.333,0.0978,0.3675,450,-0.0015,0.0087,3,72.6
GIRAM,0.3351,0.0996,0.3696,0,-0.0145,0.046,3,-
GIRAM+,0.3346,0.0979,0.3692,0,-0.02,0.05,3,-
GIRAM-VAE,0.339,0.1035,0.3734,0,-0.022,0.0368,3,-
EWC,0.3009,0.0876,0.3321,450,0.082,0.6963,3,-
ADER,0.2815,0.0904,0.3095,450,0.151,0.5747,3,-
static,0.3321,0.0838,0.3685,0,0.0,0.0,4,
always+replay,0.2479,0.0815,0.2722,450,0.2145,0.7259,4,
periodic-4,0.2719,0.077,0.3004,120,0.1845,0.1555,4,
selective-gated,0.3321,0.0838,0.3685,450,-0.0035,0.0083,4,72.7
GIRAM,0.3339,0.0859,0.3701,0,-0.0145,0.0455,4,-
GIRAM+,0.3334,0.0839,0.37,0,-0.02,0.05,4,-
GIRAM-VAE,0.3382,0.0902,0.3745,0,-0.022,0.0362,4,-
EWC,0.2989,0.0809,0.3307,450,0.107,0.6915,4,-
ADER,0.2807,0.0868,0.309,450,0.1635,0.5725,4,-
