policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,seed,avg_users_upd
static,0.3636,0.12,0.3992,0,0.0,0.0,0,
always+replay,0.2755,0.1085,0.3,450,0.226,0.7177,0,
periodic-4,0.2947,0.1061,0.3223,120,0.2,0.1543,0,
selective-gated,0.3636,0.1202,0.3992,450,-0.003,0.0071,0,64.9
GIRAM,0.3653,0.1219,0.4009,0,0.008,0.0438,0,-
GIRAM+,0.3645,0.1201,0.4003,0,-0.009,0.05,0,-
GIRAM-VAE,0.367,0.1254,0.4023,0,-0.0055,0.0354,0,-
EWC,0.3217,0.1057,0.3532,450,0.111,0.691,0,-
ADER,0.3148,0.1173,0.3436,450,0.1585,0.5509,0,-
static,0.3599,0.107,0.3969,0,0.0,0.0,1,
always+replay,0.2724,0.0974,0.298,450,0.2145,0.7206,1,
periodic-4,0.2949,0.0976,0.3238,120,0.183,0.1547,1,
selective-gated,0.36,0.1072,0.397,450,-0.0065,0.0076,1,65.3
GIRAM,0.361,0.1091,0.3979,0,0.0155,0.0443,1,-
GIRAM+,0.3604,0.107,0.3975,0,-0.005,0.05,1,-
GIRAM-VAE,0.3638,0.1132,0.4005,0,-0.001,0.0354,1,-
EWC,0.3197,0.1004,0.3518,450,0.1175,0.6899,1,-
ADER,0.3114,0.1074,0.3413,450,0.147,0.5474,1,-
static,0.364,0.1252,0.3989,0,0.0,0.0,2,
always+replay,0.2778,0.1158,0.3015,450,0.182,0.7129,2,
periodic-4,0.2966,0.1048,0.3247,120,0.174,0.1548,2,
selective-gated,0.364,0.1255,0.3989,450,-0.0025,0.0066,2,62.0
GIRAM,0.3653,0.1274,0.4001,0,-0.007,0.0443,2,-
GIRAM+,0.3648,0.1253,0.3999,0,-0.0165,0.05,2,-
GIRAM-VAE,0.3676,0.1304,0.4023,0,-0.016,0.0356,2,-
EWC,0.3271,0.1117,0.3586,450,0.0995,0.6858,2,-
ADER,0.3161,0.1203,0.3448,450,0.127,0.5529,2,-
static,0.3644,0.1248,0.3994,0,0.0,0.0,3,
always+replay,0.2734,0.1076,0.2976,450,0.228,0.7293,3,
periodic-4,0.2919,0.1052,0.3193,120,0.194,0.1578,3,
selective-gated,0.3644,0.1249,0.3994,450,-0.0025,0.0072,3,64.7
GIRAM,0.3659,0.1266,0.4009,0,0.0095,0.0438,3,-
GIRAM+,0.3654,0.125,0.4006,0,-0.0105,0.05,3,-
GIRAM-VAE,0.3675,0.1301,0.4023,0,-0.003,0.0351,3,-
EWC,0.3214,0.109,0.3525,450,0.1115,0.7044,3,-
ADER,0.3147,0.1198,0.3432,450,0.1625,0.5575,3,-
static,0.3628,0.1175,0.3987,0,0.0,0.0,4,
always+replay,0.273,0.1067,0.2973,450,0.202,0.7195,4,
periodic-4,0.2974,0.1043,0.3256,120,0.1805,0.1553,4,
selective-gated,0.3629,0.1177,0.3987,450,-0.0025,0.0069,4,64.9
GIRAM,0.3642,0.1194,0.4,0,0.0045,0.0439,4,-
GIRAM+,0.3636,0.1178,0.3996,0,-0.0075,0.05,4,-
GIRAM-VAE,0.3667,0.1236,0.4022,0,-0.0115,0.0347,4,-
EWC,0.3202,0.1084,0.3512,450,0.125,0.6975,4,-
ADER,0.3125,0.1144,0.3415,450,0.1505,0.5474,4,-
