policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,acc@1,acc@5,acc@10m,acc@20,mrr,seed,avg_users_upd
static,0.3276,0.0891,0.3625,0,0.0,0.0,0.1379,0.2711,0.3276,0.3811,0.2024,0,
always+replay,0.2446,0.0822,0.2683,450,0.2015,0.7081,0.0859,0.191,0.2446,0.3026,0.1397,0,
periodic-4,0.271,0.077,0.2994,120,0.164,0.1493,0.1002,0.2157,0.271,0.3272,0.1577,0,
selective-gated,0.3276,0.0892,0.3625,450,-0.002,0.0081,0.1379,0.2711,0.3276,0.3812,0.2024,0,73.8
GIRAM,0.3298,0.0911,0.3647,0,-0.002,0.0463,0.1384,0.2726,0.3298,0.3833,0.2033,0,-
GIRAM+,0.3288,0.0892,0.3638,0,-0.0075,0.05,,,,,,0,-
GIRAM-VAE,0.334,0.0969,0.3687,0,-0.01,0.0379,0.1386,0.2741,0.334,0.3899,0.2047,0,-
EWC,0.3014,0.0819,0.3335,450,0.084,0.6589,0.1161,0.2433,0.3014,0.3583,0.1786,0,-
ADER,0.279,0.0896,0.3067,450,0.1525,0.5598,0.1018,0.2203,0.279,0.3386,0.1612,0,-
static,0.3301,0.0843,0.3661,0,0.0,0.0,0.1379,0.2739,0.3301,0.383,0.2035,1,
always+replay,0.2479,0.0749,0.2733,450,0.196,0.7023,0.0877,0.1952,0.2479,0.3052,0.1425,1,
periodic-4,0.2741,0.0752,0.3032,120,0.1445,0.1489,0.1029,0.2199,0.2741,0.3302,0.1611,1,
selective-gated,0.3302,0.0844,0.3661,450,-0.0015,0.0086,0.1379,0.274,0.3302,0.3831,0.2035,1,73.8
GIRAM,0.3316,0.0863,0.3675,0,-0.003,0.0466,0.1381,0.2752,0.3316,0.3848,0.204,1,-
GIRAM+,0.3309,0.0843,0.367,0,-0.013,0.05,,,,,,1,-
GIRAM-VAE,0.3354,0.0898,0.3713,0,-0.0155,0.0379,0.1384,0.277,0.3354,0.3916,0.2056,1,-
EWC,0.3052,0.0788,0.3383,450,0.057,0.655,0.1155,0.2465,0.3052,0.3631,0.1797,1,-
ADER,0.2804,0.0834,0.3092,450,0.141,0.5605,0.101,0.2231,0.2804,0.3389,0.1617,1,-
static,0.3276,0.0852,0.3631,0,0.0,0.0,0.138,0.2723,0.3276,0.3808,0.2025,2,
always+replay,0.2485,0.0784,0.2733,450,0.201,0.7044,0.086,0.1934,0.2485,0.3073,0.1408,2,
periodic-4,0.2722,0.0803,0.3003,120,0.1725,0.1501,0.1006,0.2158,0.2722,0.3301,0.1582,2,
selective-gated,0.3276,0.0852,0.3631,450,-0.001,0.0096,0.138,0.2723,0.3276,0.3808,0.2025,2,74.3
GIRAM,0.3293,0.0873,0.3647,0,-0.007,0.046,0.1382,0.2733,0.3293,0.3827,0.2031,2,-
GIRAM+,0.3288,0.0852,0.3645,0,-0.0145,0.05,,,,,,2,-
GIRAM-VAE,0.3326,0.091,0.3679,0,-0.011,0.0373,0.1384,0.2747,0.3326,0.3887,0.2045,2,-
EWC,0.305,0.0797,0.3379,450,0.0785,0.6538,0.1143,0.2456,0.305,0.3645,0.1789,2,-
ADER,0.2816,0.0883,0.3098,450,0.164,0.5615,0.1018,0.2237,0.2816,0.3409,0.1624,2,-
static,0.3321,0.094,0.3669,0,0.0,0.0,0.1388,0.275,0.3321,0.3861,0.2044,3,
always+replay,0.2443,0.0779,0.2686,450,0.1995,0.71,0.0845,0.1899,0.2443,0.3026,0.1383,3,
periodic-4,0.2699,0.0756,0.2983,120,0.1625,0.1516,0.1001,0.2144,0.2699,0.3269,0.1575,3,
selective-gated,0.3321,0.0942,0.3669,450,-0.0035,0.0089,0.1388,0.2751,0.3321,0.3861,0.2044,3,73.3
GIRAM,0.3341,0.096,0.3689,0,-0.014,0.0461,0.139,0.2763,0.3341,0.3881,0.205,3,-
GIRAM+,0.3335,0.0943,0.3684,0,-0.0165,0.05,,,,,,3,-
GIRAM-VAE,0.3371,0.0994,0.3719,0,-0.019,0.0372,0.1391,0.2777,0.3371,0.3933,0.2062,3,-
EWC,0.3044,0.082,0.3369,450,0.073,0.6569,0.1152,0.2456,0.3044,0.362,0.1789,3,-
ADER,0.2783,0.0861,0.3064,450,0.1595,0.5612,0.1021,0.2209,0.2783,0.3376,0.1614,3,-
static,0.3297,0.0844,0.3656,0,0.0,0.0,0.137,0.2725,0.3297,0.3828,0.2023,4,
always+replay,0.2483,0.0831,0.2724,450,0.189,0.7012,0.0869,0.193,0.2483,0.3066,0.1413,4,
periodic-4,0.2756,0.0803,0.3042,120,0.1475,0.1491,0.1029,0.2186,0.2756,0.3327,0.161,4,
selective-gated,0.3297,0.0845,0.3656,450,-0.0035,0.0081,0.137,0.2725,0.3297,0.3828,0.2023,4,72.7
GIRAM,0.3315,0.0865,0.3674,0,-0.019,0.0455,0.1374,0.274,0.3315,0.3847,0.2031,4,-
GIRAM+,0.3309,0.0846,0.367,0,-0.018,0.05,,,,,,4,-
GIRAM-VAE,0.3356,0.0903,0.3715,0,-0.0225,0.0361,0.1375,0.2756,0.3356,0.3909,0.2045,4,-
EWC,0.3032,0.0815,0.3356,450,0.067,0.6547,0.1153,0.2439,0.3032,0.3608,0.1786,4,-
ADER,0.2786,0.0887,0.3063,450,0.135,0.5572,0.1017,0.2203,0.2786,0.3393,0.1613,4,-
